cell_id,Swynnertonia swynnertoni,Swynnertonia swynnertoni rodgersi,Swynnertonia swynnertoni swynnertoni
847b487ffffffff,2.0,0.0,0.0
847b4dbffffffff,1.0,0.0,0.0
8496b09ffffffff,4.0,0.0,0.0
8496b0dffffffff,2.0,0.0,0.0
8496b21ffffffff,2.0,0.0,0.0
8496b55ffffffff,9.0,0.0,0.0
8497003ffffffff,4.0,0.0,0.0
8497035ffffffff,92.0,0.0,21.0
84971cbffffffff,14.0,0.0,2.0
