cell_id,Indicator minor,Indicator minor conirostris/ussheri,Indicator minor [minor Group]
83529bfffffffff,3.0,0.0,3.0
83540bfffffffff,2.0,0.0,2.0
83541afffffffff,20.0,0.0,18.0
83541bfffffffff,9.0,0.0,8.0
8354a9fffffffff,130.0,0.0,110.0
8354adfffffffff,3.0,0.0,2.0
8354e2fffffffff,2.0,0.0,0.0
8354e4fffffffff,13.0,0.0,13.0
8354e5fffffffff,16.0,0.0,13.0
8354f1fffffffff,2.0,0.0,2.0
8354f4fffffffff,1.0,0.0,0.0
8354f5fffffffff,1.0,0.0,1.0
835890fffffffff,2.0,0.0,2.0
835894fffffffff,2.0,2.0,0.0
835896fffffffff,22.0,5.0,13.0
8358a4fffffffff,3.0,0.0,3.0
8358a6fffffffff,5.0,0.0,5.0
8358c8fffffffff,2.0,0.0,2.0
8358cdfffffffff,1.0,0.0,1.0
8358d3fffffffff,3.0,3.0,0.0
8358dbfffffffff,1.0,1.0,0.0
8358defffffffff,1.0,0.0,1.0
8358e2fffffffff,5.0,0.0,5.0
8358e6fffffffff,11.0,0.0,7.0
835982fffffffff,2.0,0.0,2.0
835998fffffffff,9.0,0.0,8.0
83599afffffffff,1.0,0.0,1.0
83599efffffffff,12.0,0.0,11.0
836a58fffffffff,3.0,0.0,3.0
836a5afffffffff,12.0,0.0,11.0
836a69fffffffff,2.0,0.0,2.0
836ac0fffffffff,22.0,2.0,18.0
836ac1fffffffff,93.0,16.0,66.0
836ac3fffffffff,15.0,0.0,11.0
836ac5fffffffff,2.0,0.0,2.0
836ac8fffffffff,19.0,0.0,17.0
836ac9fffffffff,29.0,0.0,28.0
836accfffffffff,13.0,0.0,9.0
836acdfffffffff,2.0,0.0,1.0
836acefffffffff,87.0,0.0,81.0
836ad8fffffffff,28.0,0.0,23.0
836ad9fffffffff,8.0,0.0,8.0
836adafffffffff,1.0,0.0,0.0
836adcfffffffff,133.0,35.0,92.0
836addfffffffff,5.0,0.0,5.0
836adefffffffff,3.0,0.0,0.0
836ae8fffffffff,2.0,0.0,2.0
836aeafffffffff,23.0,2.0,21.0
836aebfffffffff,2.0,0.0,2.0
836aeefffffffff,19.0,0.0,19.0
836bacfffffffff,1.0,0.0,1.0
83750dfffffffff,32.0,29.0,1.0
