cell_id,Coracias caudatus,Coracias caudatus lorti,Coracias caudatus caudatus
835280fffffffff,2.0,0.0,0.0
8352d8fffffffff,1.0,0.0,0.0
836a49fffffffff,11.0,1.0,0.0
836a4afffffffff,4.0,0.0,0.0
836a4bfffffffff,6.0,0.0,0.0
836a5afffffffff,4.0,0.0,0.0
836a69fffffffff,7.0,0.0,0.0
836ac0fffffffff,2.0,0.0,0.0
836ac1fffffffff,5.0,0.0,0.0
836ac3fffffffff,28.0,0.0,0.0
836ac8fffffffff,32.0,0.0,0.0
836ac9fffffffff,4.0,0.0,0.0
836acafffffffff,2.0,0.0,0.0
836accfffffffff,7.0,0.0,0.0
836acefffffffff,597.0,0.0,0.0
836ad8fffffffff,67.0,0.0,0.0
836adcfffffffff,10.0,0.0,0.0
836addfffffffff,92.0,0.0,0.0
836ae8fffffffff,2.0,0.0,2.0
836aeefffffffff,9.0,0.0,0.0
837a40fffffffff,659.0,0.0,0.0
837a41fffffffff,349.0,0.0,0.0
837a43fffffffff,4.0,0.0,0.0
837a44fffffffff,2.0,0.0,0.0
837a45fffffffff,36.0,0.0,0.0
837a46fffffffff,3.0,0.0,0.0
837a48fffffffff,67.0,0.0,3.0
837a49fffffffff,5.0,0.0,0.0
837a4bfffffffff,28.0,0.0,3.0
837a4cfffffffff,80.0,0.0,0.0
837a4dfffffffff,1.0,0.0,0.0
837a5afffffffff,6.0,0.0,0.0
837a60fffffffff,217.0,0.0,0.0
837a61fffffffff,273.0,0.0,0.0
837a63fffffffff,15.0,0.0,0.0
837a64fffffffff,155.0,0.0,0.0
837a65fffffffff,352.0,0.0,0.0
837a66fffffffff,19.0,0.0,0.0
837a68fffffffff,1230.0,0.0,6.0
837a69fffffffff,3.0,0.0,0.0
837a6afffffffff,699.0,0.0,0.0
837a6bfffffffff,20.0,0.0,0.0
837a6cfffffffff,14.0,0.0,0.0
837a6dfffffffff,963.0,0.0,22.0
837a6efffffffff,105.0,0.0,0.0
837ac1fffffffff,2.0,2.0,0.0
837ac8fffffffff,60.0,3.0,0.0
837acafffffffff,1.0,1.0,0.0
837acbfffffffff,1.0,0.0,0.0
837accfffffffff,11.0,0.0,0.0
837acdfffffffff,14.0,0.0,0.0
837ad9fffffffff,22.0,0.0,0.0
837ae8fffffffff,100.0,8.0,0.0
837ae9fffffffff,80.0,13.0,0.0
837aeafffffffff,14.0,0.0,0.0
837aedfffffffff,51.0,3.0,0.0
837b48fffffffff,16.0,0.0,0.0
837b4afffffffff,31.0,0.0,0.0
837b4bfffffffff,33.0,0.0,0.0
837b4cfffffffff,2.0,0.0,0.0
837b4dfffffffff,13.0,0.0,0.0
837b59fffffffff,135.0,0.0,0.0
837b5bfffffffff,12.0,0.0,0.0
837b68fffffffff,5.0,0.0,0.0
837b6afffffffff,8.0,0.0,0.0
837b6bfffffffff,38.0,0.0,0.0
8382a5fffffffff,2.0,0.0,0.0
838304fffffffff,2.0,0.0,0.0
838311fffffffff,2.0,0.0,2.0
838312fffffffff,1.0,0.0,0.0
83831efffffffff,5.0,0.0,3.0
838322fffffffff,1.0,0.0,1.0
838330fffffffff,2.0,0.0,0.0
838331fffffffff,1.0,0.0,1.0
838333fffffffff,2.0,0.0,2.0
838335fffffffff,3.0,0.0,3.0
838386fffffffff,1.0,0.0,0.0
83838afffffffff,1.0,0.0,0.0
8383acfffffffff,4.0,0.0,2.0
839600fffffffff,7.0,0.0,0.0
839601fffffffff,7.0,0.0,0.0
839602fffffffff,4.0,0.0,3.0
839604fffffffff,4.0,0.0,0.0
839609fffffffff,2.0,0.0,0.0
83960bfffffffff,8.0,0.0,0.0
839614fffffffff,51.0,0.0,0.0
839620fffffffff,97.0,0.0,9.0
839621fffffffff,51.0,0.0,2.0
839622fffffffff,18.0,0.0,0.0
839623fffffffff,89.0,0.0,14.0
839625fffffffff,10.0,0.0,0.0
839626fffffffff,30.0,0.0,0.0
839628fffffffff,31.0,0.0,0.0
839629fffffffff,7.0,0.0,0.0
83962bfffffffff,21.0,0.0,2.0
83962cfffffffff,98.0,0.0,26.0
83962dfffffffff,27.0,0.0,19.0
83962efffffffff,51.0,0.0,7.0
839633fffffffff,171.0,0.0,21.0
839635fffffffff,2.0,0.0,0.0
839636fffffffff,4.0,0.0,0.0
839656fffffffff,4.0,0.0,0.0
839670fffffffff,2.0,0.0,0.0
839675fffffffff,16.0,0.0,2.0
839682fffffffff,2.0,0.0,0.0
839686fffffffff,4.0,0.0,0.0
839688fffffffff,2.0,0.0,0.0
839690fffffffff,641.0,0.0,5.0
839692fffffffff,607.0,0.0,19.0
839693fffffffff,602.0,0.0,2.0
83969afffffffff,47.0,0.0,0.0
83969efffffffff,1.0,0.0,0.0
8396a2fffffffff,11.0,0.0,0.0
8396a3fffffffff,7.0,0.0,0.0
8396a8fffffffff,2.0,0.0,0.0
8396adfffffffff,2.0,0.0,0.0
8396b0fffffffff,12.0,0.0,0.0
8396b1fffffffff,206.0,0.0,0.0
8396b2fffffffff,2.0,0.0,0.0
8396b4fffffffff,27.0,0.0,0.0
8396b6fffffffff,127.0,0.0,0.0
839701fffffffff,16.0,0.0,0.0
839702fffffffff,5.0,0.0,0.0
839703fffffffff,14.0,0.0,0.0
839705fffffffff,26.0,0.0,0.0
839706fffffffff,2.0,0.0,0.0
839708fffffffff,22.0,0.0,0.0
83970afffffffff,7.0,0.0,0.0
83970cfffffffff,6.0,0.0,0.0
83970dfffffffff,8.0,0.0,0.0
839710fffffffff,18.0,0.0,0.0
839711fffffffff,207.0,0.0,0.0
839713fffffffff,17.0,0.0,0.0
839715fffffffff,52.0,0.0,0.0
839719fffffffff,18.0,0.0,0.0
83971cfffffffff,10.0,0.0,0.0
83971dfffffffff,4.0,0.0,0.0
839721fffffffff,5.0,0.0,0.0
839724fffffffff,21.0,0.0,0.0
839725fffffffff,15.0,0.0,0.0
839728fffffffff,148.0,0.0,28.0
839729fffffffff,92.0,0.0,15.0
83972afffffffff,4.0,0.0,0.0
83972cfffffffff,505.0,0.0,131.0
83972dfffffffff,14.0,0.0,0.0
83972efffffffff,342.0,0.0,74.0
839731fffffffff,8.0,0.0,0.0
839735fffffffff,16.0,0.0,0.0
839740fffffffff,77.0,0.0,4.0
839741fffffffff,281.0,0.0,6.0
839742fffffffff,3.0,0.0,0.0
839743fffffffff,716.0,0.0,12.0
839744fffffffff,12.0,0.0,0.0
839745fffffffff,55.0,0.0,0.0
839746fffffffff,17.0,0.0,0.0
839748fffffffff,10.0,0.0,0.0
83974afffffffff,485.0,0.0,45.0
83974bfffffffff,41.0,0.0,0.0
83974efffffffff,261.0,0.0,40.0
839750fffffffff,127.0,0.0,0.0
839751fffffffff,636.0,0.0,24.0
839752fffffffff,1.0,0.0,0.0
839753fffffffff,31.0,0.0,9.0
839754fffffffff,66.0,0.0,0.0
839755fffffffff,29.0,0.0,0.0
839758fffffffff,23.0,0.0,0.0
83975cfffffffff,318.0,0.0,4.0
83975dfffffffff,122.0,0.0,1.0
83975efffffffff,57.0,0.0,7.0
839768fffffffff,11.0,0.0,0.0
83976afffffffff,3.0,0.0,0.0
839770fffffffff,13.0,0.0,0.0
839771fffffffff,2.0,0.0,0.0
839772fffffffff,30.0,0.0,2.0
839773fffffffff,8.0,0.0,0.0
839774fffffffff,1.0,0.0,0.0
839775fffffffff,16.0,0.0,0.0
839782fffffffff,2.0,0.0,0.0
83978bfffffffff,5.0,0.0,0.0
83978cfffffffff,2.0,0.0,0.0
83978dfffffffff,20.0,0.0,0.0
839791fffffffff,3.0,0.0,0.0
839793fffffffff,2.0,0.0,0.0
839794fffffffff,2.0,0.0,0.0
83979efffffffff,3.0,0.0,0.0
8397a8fffffffff,24.0,0.0,0.0
8397aafffffffff,90.0,0.0,0.0
