cell_id,Oenanthe picata,Oenanthe picata picata,Oenanthe picata capistrata,Oenanthe picata opistholeuca
8420801ffffffff,1.0,0.0,0.0,0.0
8420803ffffffff,8.0,0.0,0.0,0.0
8420807ffffffff,3.0,0.0,0.0,0.0
8420809ffffffff,2.0,0.0,0.0,0.0
842080bffffffff,15.0,0.0,0.0,0.0
842080dffffffff,2.0,0.0,0.0,0.0
8420823ffffffff,1.0,0.0,0.0,0.0
842083dffffffff,2.0,0.0,0.0,0.0
8420847ffffffff,3.0,0.0,0.0,0.0
842084dffffffff,1.0,0.0,0.0,0.0
8420855ffffffff,5.0,0.0,0.0,0.0
8420867ffffffff,1.0,0.0,0.0,0.0
842086bffffffff,5.0,0.0,0.0,0.0
84208a5ffffffff,1.0,0.0,0.0,0.0
8420997ffffffff,1.0,0.0,0.0,0.0
8420999ffffffff,2.0,0.0,0.0,0.0
842099bffffffff,1.0,0.0,0.0,0.0
84209a5ffffffff,20.0,0.0,0.0,0.0
8420a87ffffffff,4.0,0.0,0.0,0.0
8420ae1ffffffff,1.0,0.0,0.0,0.0
8420ae3ffffffff,1.0,0.0,0.0,0.0
8420b15ffffffff,2.0,0.0,0.0,0.0
8420b2bffffffff,1.0,0.0,0.0,0.0
8420b3bffffffff,4.0,0.0,0.0,0.0
8421981ffffffff,2.0,0.0,0.0,0.0
842199dffffffff,3.0,0.0,0.0,0.0
842c833ffffffff,1.0,0.0,0.0,0.0
842c8e5ffffffff,3.0,0.0,0.0,0.0
842c8edffffffff,14.0,0.0,0.0,0.0
842c987ffffffff,3.0,0.0,0.0,0.0
842c9bbffffffff,1.0,0.0,0.0,0.0
842c9c9ffffffff,6.0,0.0,0.0,0.0
842cc33ffffffff,3.0,0.0,0.0,0.0
842ccb1ffffffff,2.0,0.0,0.0,0.0
842ccb3ffffffff,3.0,0.0,0.0,0.0
842ccb7ffffffff,4.0,0.0,0.0,0.0
842cce3ffffffff,2.0,0.0,0.0,0.0
842cd8bffffffff,2.0,0.0,0.0,0.0
842cda7ffffffff,2.0,0.0,0.0,0.0
842cdd5ffffffff,34.0,0.0,0.0,0.0
842cdd7ffffffff,2.0,0.0,0.0,0.0
842cde5ffffffff,2.0,0.0,0.0,0.0
842cf27ffffffff,8.0,0.0,0.0,0.0
843d049ffffffff,2.0,0.0,0.0,0.0
843d06bffffffff,4.0,0.0,0.0,0.0
843d10dffffffff,1.0,0.0,0.0,0.0
843d147ffffffff,3.0,0.0,0.0,0.0
843d16bffffffff,8.0,0.0,0.0,0.0
843d225ffffffff,6.0,0.0,0.0,0.0
843d22dffffffff,7.0,0.0,0.0,0.0
843d261ffffffff,1.0,0.0,0.0,0.0
843d269ffffffff,1.0,0.0,0.0,0.0
843d325ffffffff,5.0,0.0,0.0,0.0
843d845ffffffff,15.0,0.0,0.0,0.0
843d84dffffffff,3.0,0.0,0.0,0.0
843d851ffffffff,10.0,0.0,0.0,0.0
843d853ffffffff,14.0,0.0,0.0,0.0
843d859ffffffff,7.0,0.0,0.0,0.0
843d85dffffffff,5.0,0.0,0.0,0.0
843da09ffffffff,3.0,0.0,0.0,0.0
843da11ffffffff,8.0,0.0,0.0,0.0
843da1dffffffff,55.0,0.0,0.0,0.0
843da25ffffffff,21.0,0.0,0.0,0.0
843da2dffffffff,8.0,0.0,0.0,0.0
843da35ffffffff,2.0,0.0,0.0,0.0
843da37ffffffff,17.0,0.0,0.0,0.0
843da43ffffffff,2.0,0.0,0.0,0.0
843da55ffffffff,2.0,0.0,0.0,0.0
843da61ffffffff,6.0,0.0,0.0,0.0
843da63ffffffff,7.0,0.0,0.0,0.0
843da69ffffffff,503.0,0.0,0.0,0.0
843da6bffffffff,4.0,0.0,0.0,0.0
843da6dffffffff,10.0,0.0,0.0,0.0
843db07ffffffff,12.0,0.0,0.0,0.0
843db09ffffffff,4.0,0.0,0.0,0.0
843db13ffffffff,39.0,0.0,0.0,0.0
843db1bffffffff,1.0,0.0,0.0,0.0
843db29ffffffff,5.0,0.0,0.0,0.0
843db2dffffffff,1.0,0.0,0.0,0.0
843db31ffffffff,2.0,0.0,0.0,0.0
843db39ffffffff,5.0,0.0,0.0,0.0
843db3dffffffff,2.0,0.0,0.0,0.0
843db43ffffffff,2.0,0.0,0.0,0.0
843db49ffffffff,2.0,0.0,0.0,0.0
843db4dffffffff,4.0,0.0,0.0,0.0
843db51ffffffff,2.0,0.0,0.0,0.0
843db55ffffffff,1.0,0.0,0.0,0.0
843db57ffffffff,9.0,0.0,0.0,0.0
843db5bffffffff,10.0,0.0,0.0,0.0
843db61ffffffff,2.0,0.0,0.0,0.0
843db67ffffffff,10.0,0.0,0.0,0.0
843db6dffffffff,33.0,0.0,0.0,0.0
8442069ffffffff,6.0,0.0,0.0,0.0
844206dffffffff,5.0,0.0,0.0,0.0
844221dffffffff,4.0,0.0,0.0,0.0
8442251ffffffff,2.0,0.0,0.0,0.0
8442307ffffffff,6.0,0.0,0.0,0.0
844230dffffffff,4.0,0.0,0.0,0.0
844231dffffffff,4.0,0.0,0.0,0.0
8442331ffffffff,15.0,0.0,0.0,0.0
8442339ffffffff,5.0,0.0,0.0,0.0
844233bffffffff,4.0,0.0,0.0,0.0
8442493ffffffff,16.0,0.0,0.0,0.0
844249bffffffff,2.0,0.0,0.0,0.0
8442511ffffffff,1.0,0.0,0.0,0.0
8442515ffffffff,100.0,0.0,0.0,0.0
8442531ffffffff,835.0,0.0,0.0,0.0
8442533ffffffff,299.0,0.0,0.0,0.0
8442535ffffffff,3.0,0.0,0.0,0.0
8442537ffffffff,32.0,0.0,0.0,0.0
8442539ffffffff,6.0,0.0,0.0,0.0
844253bffffffff,27.0,0.0,0.0,0.0
844253dffffffff,2.0,0.0,0.0,0.0
