cell_id,Chaetura vauxi,Chaetura vauxi vauxi,Chaetura vauxi gaumeri,Chaetura vauxi [richmondi Group],Chaetura vauxi aphanes
8412805ffffffff,21.0,0.0,0.0,0.0,0.0
841280dffffffff,13.0,0.0,0.0,0.0,0.0
8412823ffffffff,1.0,0.0,0.0,0.0,0.0
841282bffffffff,2.0,0.0,0.0,0.0,0.0
8412847ffffffff,24.0,0.0,0.0,0.0,0.0
8412851ffffffff,4.0,0.0,0.0,0.0,0.0
841285dffffffff,2.0,0.0,0.0,0.0,0.0
8412865ffffffff,2.0,0.0,0.0,0.0,0.0
8412891ffffffff,2.0,0.0,0.0,0.0,0.0
8412893ffffffff,2.0,0.0,0.0,0.0,0.0
84128bdffffffff,8.0,0.0,0.0,0.0,0.0
84128d3ffffffff,8.0,0.0,0.0,0.0,0.0
84128dbffffffff,5.0,0.0,0.0,0.0,0.0
84128e3ffffffff,2.0,0.0,0.0,0.0,0.0
84128e7ffffffff,4.0,0.0,0.0,0.0,0.0
8412993ffffffff,13.0,0.0,0.0,0.0,0.0
84129abffffffff,3.0,0.0,0.0,0.0,0.0
84129b3ffffffff,4.0,0.0,0.0,0.0,0.0
84129b7ffffffff,2.0,0.0,0.0,0.0,0.0
84129b9ffffffff,3.0,0.0,0.0,0.0,0.0
84129bbffffffff,10.0,0.0,0.0,0.0,0.0
84129d9ffffffff,3.0,0.0,0.0,0.0,0.0
8412a21ffffffff,5.0,0.0,0.0,0.0,0.0
8412a25ffffffff,37.0,0.0,0.0,0.0,0.0
8412a33ffffffff,3.0,0.0,0.0,0.0,0.0
8412a35ffffffff,1.0,0.0,0.0,0.0,0.0
8412a37ffffffff,7.0,0.0,0.0,0.0,0.0
8412a61ffffffff,2.0,0.0,0.0,0.0,0.0
8412a67ffffffff,1.0,0.0,0.0,0.0,0.0
8412ab3ffffffff,7.0,0.0,0.0,0.0,0.0
8412b01ffffffff,27.0,0.0,0.0,0.0,0.0
8412b03ffffffff,17.0,0.0,0.0,0.0,0.0
