cell_id,Leiothlypis celata,Leiothlypis celata celata,Leiothlypis celata orestera,Leiothlypis celata lutescens,Leiothlypis celata sordida,Leiothlypis celata celata/orestera
820c17fffffffff,106.0,97.0,0.0,0.0,0.0,0.0
820c1ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0
820c2ffffffffff,1.0,1.0,0.0,0.0,0.0,0.0
820c47fffffffff,40.0,14.0,0.0,7.0,0.0,0.0
820c57fffffffff,9.0,0.0,0.0,5.0,0.0,0.0
820c5ffffffffff,27.0,1.0,0.0,0.0,0.0,0.0
820c6ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0
820c77fffffffff,31.0,7.0,0.0,4.0,0.0,0.0
820ca7fffffffff,36.0,4.0,0.0,6.0,0.0,0.0
820d5ffffffffff,11.0,0.0,0.0,0.0,0.0,0.0
820d77fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
820e47fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
820e4ffffffffff,10.0,0.0,0.0,0.0,0.0,0.0
820e57fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
820e67fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
820e6ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0
820e87fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
820e8ffffffffff,22.0,0.0,0.0,0.0,0.0,0.0
820ec7fffffffff,20.0,0.0,0.0,0.0,0.0,0.0
820ed7fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
820ee7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
820eeffffffffff,9.0,0.0,0.0,0.0,0.0,0.0
820ef7fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
821237fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82125ffffffffff,14.0,2.0,0.0,0.0,0.0,0.0
82128ffffffffff,15.0,0.0,0.0,0.0,0.0,0.0
821297fffffffff,4.0,0.0,0.0,2.0,0.0,0.0
8212affffffffff,8.0,0.0,0.0,0.0,0.0,6.0
8212b7fffffffff,92.0,10.0,0.0,5.0,0.0,0.0
8212c7fffffffff,11.0,0.0,2.0,0.0,0.0,0.0
8212cffffffffff,29.0,0.0,1.0,0.0,0.0,0.0
8212d7fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
8212dffffffffff,56.0,0.0,19.0,9.0,0.0,2.0
8212e7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8212effffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8212f7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
821357fffffffff,1.0,0.0,0.0,0.0,0.0,1.0
821387fffffffff,133.0,0.0,0.0,0.0,0.0,0.0
82138ffffffffff,73.0,0.0,0.0,0.0,0.0,0.0
821397fffffffff,30.0,4.0,0.0,22.0,0.0,0.0
82139ffffffffff,12.0,3.0,0.0,1.0,0.0,0.0
8213a7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8213b7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
821aa7fffffffff,139.0,0.0,0.0,0.0,0.0,0.0
821ab7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
821bb7fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
821d27fffffffff,7.0,2.0,0.0,4.0,0.0,0.0
8222d7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8222dffffffffff,12.0,0.0,0.0,4.0,0.0,0.0
822607fffffffff,22.0,4.0,0.0,0.0,0.0,0.0
82260ffffffffff,32.0,7.0,0.0,0.0,0.0,0.0
822617fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
