cell_id,Cranioleuca marcapatae,Cranioleuca marcapatae weskei,Cranioleuca marcapatae marcapatae
828b67fffffffff,345.0,0.0,12.0
828b6ffffffffff,419.0,0.0,29.0
828e67fffffffff,52.0,15.0,0.0
828e6ffffffffff,10.0,0.0,1.0
