cell_id,Turdus falcklandii,Turdus falcklandii magellanicus/pembertoni,Turdus falcklandii falcklandii
82b227fffffffff,5.0,0.0,0.0
82b2c7fffffffff,199.0,176.0,0.0
82b2cffffffffff,7.0,1.0,0.0
82b2e7fffffffff,13.0,9.0,0.0
82b2effffffffff,5.0,0.0,0.0
82c327fffffffff,3.0,3.0,0.0
82ce87fffffffff,5.0,3.0,0.0
82ce8ffffffffff,5.0,0.0,0.0
82cea7fffffffff,3.0,1.0,0.0
82ceaffffffffff,10.0,2.0,0.0
82cedffffffffff,2.0,0.0,0.0
82cf17fffffffff,5.0,0.0,0.0
82cf37fffffffff,8.0,3.0,0.0
82cf8ffffffffff,6.0,0.0,0.0
82de67fffffffff,7.0,0.0,7.0
82de77fffffffff,5.0,0.0,5.0
82df47fffffffff,4.0,4.0,0.0
82df6ffffffffff,19.0,14.0,0.0
