cell_id,Artemisiospiza belli,Artemisiospiza belli belli,Artemisiospiza belli canescens,Artemisiospiza belli clementeae,Artemisiospiza belli cinerea
8428021ffffffff,3.0,3.0,0.0,0.0,0.0
842806dffffffff,2.0,2.0,0.0,0.0,0.0
8428103ffffffff,1.0,0.0,0.0,0.0,0.0
8428153ffffffff,11.0,0.0,0.0,0.0,0.0
8428159ffffffff,5.0,0.0,0.0,0.0,0.0
842815bffffffff,9.0,0.0,0.0,0.0,0.0
8428303ffffffff,4.0,0.0,0.0,0.0,0.0
8428307ffffffff,9.0,3.0,0.0,0.0,0.0
8428309ffffffff,4.0,0.0,0.0,0.0,0.0
842830dffffffff,6.0,0.0,0.0,0.0,0.0
8428317ffffffff,32.0,30.0,0.0,0.0,0.0
8428321ffffffff,8.0,3.0,0.0,0.0,0.0
842832bffffffff,8.0,0.0,0.0,0.0,0.0
842832dffffffff,2.0,0.0,0.0,0.0,0.0
8428331ffffffff,14.0,4.0,0.0,0.0,0.0
8428333ffffffff,7.0,1.0,0.0,0.0,0.0
8428339ffffffff,51.0,17.0,0.0,0.0,0.0
842833bffffffff,1.0,0.0,0.0,0.0,0.0
8428341ffffffff,4.0,1.0,0.0,0.0,0.0
8428343ffffffff,25.0,2.0,0.0,0.0,0.0
8428345ffffffff,68.0,9.0,0.0,0.0,0.0
842834dffffffff,8.0,2.0,0.0,0.0,0.0
8428369ffffffff,3.0,1.0,0.0,0.0,0.0
842836bffffffff,22.0,2.0,0.0,0.0,0.0
8429135ffffffff,2.0,0.0,0.0,0.0,0.0
84291a5ffffffff,1.0,1.0,0.0,0.0,0.0
8429847ffffffff,2.0,0.0,0.0,0.0,0.0
8429849ffffffff,2.0,0.0,1.0,0.0,0.0
8429859ffffffff,4.0,0.0,2.0,0.0,0.0
8429861ffffffff,3.0,0.0,3.0,0.0,0.0
8429863ffffffff,18.0,0.0,4.0,0.0,0.0
8429865ffffffff,2.0,0.0,0.0,0.0,0.0
8429869ffffffff,1.0,0.0,0.0,0.0,0.0
842986bffffffff,2.0,0.0,0.0,0.0,0.0
84298c9ffffffff,6.0,0.0,2.0,0.0,0.0
84298cdffffffff,12.0,0.0,0.0,0.0,0.0
84298d9ffffffff,2.0,0.0,0.0,0.0,0.0
8429953ffffffff,3.0,0.0,3.0,0.0,0.0
8429a01ffffffff,5.0,1.0,0.0,0.0,0.0
8429a03ffffffff,5.0,1.0,0.0,0.0,0.0
8429a05ffffffff,4.0,0.0,0.0,0.0,0.0
8429a0bffffffff,76.0,6.0,0.0,0.0,0.0
8429a0dffffffff,11.0,2.0,0.0,0.0,0.0
8429a17ffffffff,18.0,0.0,0.0,0.0,0.0
8429a29ffffffff,1.0,0.0,0.0,0.0,0.0
8429a31ffffffff,48.0,0.0,9.0,0.0,0.0
8429a3bffffffff,45.0,0.0,7.0,0.0,0.0
8429a47ffffffff,2.0,0.0,0.0,0.0,0.0
8429a4dffffffff,7.0,1.0,0.0,0.0,0.0
8429a59ffffffff,112.0,0.0,0.0,112.0,0.0
8429a61ffffffff,19.0,0.0,2.0,0.0,0.0
8429a63ffffffff,18.0,0.0,11.0,0.0,0.0
8429a67ffffffff,4.0,0.0,1.0,0.0,0.0
8429a69ffffffff,79.0,0.0,29.0,0.0,0.0
8429a6bffffffff,16.0,0.0,0.0,0.0,0.0
8429a6dffffffff,1.0,0.0,0.0,0.0,0.0
8429a89ffffffff,12.0,0.0,6.0,0.0,0.0
8429a8bffffffff,2.0,0.0,0.0,0.0,0.0
8429a91ffffffff,9.0,0.0,9.0,0.0,0.0
8429a99ffffffff,1.0,1.0,0.0,0.0,0.0
8429a9bffffffff,12.0,4.0,0.0,0.0,0.0
8429aa9ffffffff,1.0,0.0,0.0,0.0,0.0
8429ac1ffffffff,32.0,0.0,32.0,0.0,0.0
8429ac3ffffffff,5.0,0.0,5.0,0.0,0.0
8429ad1ffffffff,2.0,2.0,0.0,0.0,0.0
8429ae5ffffffff,13.0,0.0,9.0,0.0,0.0
8429ae7ffffffff,10.0,0.0,4.0,0.0,0.0
8429b55ffffffff,13.0,0.0,7.0,0.0,0.0
8429b5bffffffff,3.0,0.0,3.0,0.0,0.0
8429b5dffffffff,3.0,0.0,3.0,0.0,0.0
8429b69ffffffff,46.0,0.0,28.0,0.0,0.0
8429b6dffffffff,2.0,0.0,0.0,0.0,0.0
8448435ffffffff,1.0,1.0,0.0,0.0,0.0
8448437ffffffff,6.0,3.0,0.0,0.0,0.0
84484a7ffffffff,1.0,1.0,0.0,0.0,0.0
8448591ffffffff,3.0,0.0,0.0,0.0,0.0
8448599ffffffff,1.0,1.0,0.0,0.0,0.0
844859bffffffff,5.0,0.0,0.0,0.0,0.0
84485a3ffffffff,2.0,0.0,2.0,0.0,0.0
84485a7ffffffff,2.0,0.0,0.0,0.0,0.0
84485b3ffffffff,2.0,0.0,0.0,0.0,0.0
84485b5ffffffff,12.0,0.0,4.0,0.0,0.0
84485d1ffffffff,2.0,2.0,0.0,0.0,0.0
84485d3ffffffff,2.0,1.0,0.0,0.0,0.0
84485ddffffffff,2.0,1.0,0.0,0.0,0.0
8448731ffffffff,3.0,0.0,0.0,0.0,0.0
8448733ffffffff,6.0,0.0,0.0,0.0,6.0
844873bffffffff,1.0,1.0,0.0,0.0,0.0
8448e81ffffffff,23.0,0.0,2.0,0.0,0.0
8448e93ffffffff,231.0,0.0,72.0,0.0,0.0
8448e97ffffffff,6.0,0.0,4.0,0.0,0.0
8448e99ffffffff,2.0,0.0,0.0,0.0,0.0
8448ebbffffffff,2.0,0.0,0.0,0.0,0.0
