cell_id,Phylloscopus affinis,Phylloscopus affinis affinis/perflavus,Phylloscopus affinis occisinensis
833019fffffffff,9.0,0.0,9.0
8330e2fffffffff,6.0,0.0,6.0
8330e4fffffffff,2.0,0.0,2.0
833c0afffffffff,33.0,31.0,0.0
833c19fffffffff,19.0,19.0,0.0
833c1cfffffffff,1.0,1.0,0.0
833c1dfffffffff,29.0,28.0,0.0
833c33fffffffff,6.0,2.0,0.0
833c36fffffffff,3.0,3.0,0.0
833c52fffffffff,96.0,96.0,0.0
833c58fffffffff,9.0,4.0,0.0
833c5afffffffff,98.0,98.0,0.0
833c5bfffffffff,2.0,2.0,0.0
833c5cfffffffff,6.0,6.0,0.0
833c5efffffffff,3.0,3.0,0.0
833c6efffffffff,4.0,0.0,4.0
833c89fffffffff,2.0,2.0,0.0
833c8cfffffffff,3.0,3.0,0.0
833c8dfffffffff,11.0,11.0,0.0
833c8efffffffff,4.0,4.0,0.0
833c92fffffffff,5.0,5.0,0.0
833c94fffffffff,7.0,7.0,0.0
833c96fffffffff,1.0,1.0,0.0
833ca8fffffffff,38.0,33.0,0.0
833ca9fffffffff,25.0,22.0,0.0
833cabfffffffff,16.0,14.0,0.0
833cacfffffffff,10.0,10.0,0.0
833cadfffffffff,9.0,9.0,0.0
833cb4fffffffff,1.0,1.0,0.0
833cb5fffffffff,15.0,15.0,0.0
833cb6fffffffff,4.0,4.0,0.0
833cc0fffffffff,1.0,1.0,0.0
833cc3fffffffff,1.0,1.0,0.0
833cc4fffffffff,3.0,3.0,0.0
833cc6fffffffff,6.0,6.0,0.0
833cccfffffffff,13.0,13.0,0.0
833ce0fffffffff,15.0,15.0,0.0
833ce1fffffffff,121.0,121.0,0.0
833ce2fffffffff,4.0,4.0,0.0
833ce3fffffffff,6.0,6.0,0.0
833ce4fffffffff,12.0,12.0,0.0
833ce5fffffffff,58.0,58.0,0.0
833ce8fffffffff,44.0,44.0,0.0
833ce9fffffffff,5.0,5.0,0.0
833ceafffffffff,60.0,60.0,0.0
833cebfffffffff,9.0,9.0,0.0
833cecfffffffff,336.0,336.0,0.0
833cedfffffffff,36.0,36.0,0.0
833cf2fffffffff,4.0,4.0,0.0
833cf4fffffffff,1.0,1.0,0.0
833d00fffffffff,2.0,2.0,0.0
833d10fffffffff,16.0,16.0,0.0
833d13fffffffff,4.0,4.0,0.0
833d14fffffffff,6.0,6.0,0.0
833d15fffffffff,10.0,10.0,0.0
833d1efffffffff,9.0,9.0,0.0
833d30fffffffff,9.0,9.0,0.0
833d32fffffffff,2.0,2.0,0.0
833d33fffffffff,7.0,7.0,0.0
833d34fffffffff,2.0,2.0,0.0
833d35fffffffff,1.0,0.0,0.0
833d36fffffffff,4.0,2.0,0.0
833d84fffffffff,1.0,1.0,0.0
833d8cfffffffff,4.0,4.0,0.0
833d8dfffffffff,2.0,2.0,0.0
833d91fffffffff,2.0,2.0,0.0
833d98fffffffff,5.0,4.0,0.0
833d9bfffffffff,19.0,17.0,0.0
833d9dfffffffff,6.0,6.0,0.0
833d9efffffffff,5.0,5.0,0.0
833da1fffffffff,42.0,35.0,0.0
833da3fffffffff,11.0,11.0,0.0
833da9fffffffff,3.0,3.0,0.0
833dacfffffffff,6.0,6.0,0.0
833dadfffffffff,73.0,72.0,0.0
83404cfffffffff,5.0,0.0,5.0
83404dfffffffff,3.0,0.0,3.0
834059fffffffff,1.0,0.0,1.0
8341b4fffffffff,3.0,0.0,0.0
8341b6fffffffff,3.0,0.0,2.0
83425bfffffffff,2.0,2.0,0.0
8342ccfffffffff,2.0,2.0,0.0
8342cefffffffff,1.0,1.0,0.0
8342dbfffffffff,12.0,12.0,0.0
8342ebfffffffff,2.0,2.0,0.0
834b35fffffffff,1.0,0.0,1.0
834ba5fffffffff,9.0,0.0,0.0
836002fffffffff,3.0,3.0,0.0
836006fffffffff,5.0,5.0,0.0
836010fffffffff,2.0,2.0,0.0
836011fffffffff,10.0,10.0,0.0
836012fffffffff,2.0,1.0,0.0
836013fffffffff,3.0,3.0,0.0
836014fffffffff,73.0,62.0,0.0
836015fffffffff,14.0,13.0,0.0
836016fffffffff,82.0,73.0,0.0
83601afffffffff,2.0,2.0,0.0
836026fffffffff,2.0,2.0,0.0
836030fffffffff,2.0,2.0,0.0
836031fffffffff,42.0,42.0,0.0
836032fffffffff,3.0,1.0,0.0
836033fffffffff,524.0,510.0,0.0
836035fffffffff,1.0,1.0,0.0
836084fffffffff,2.0,2.0,0.0
836088fffffffff,38.0,37.0,0.0
83608afffffffff,13.0,12.0,0.0
83608bfffffffff,15.0,15.0,0.0
83608efffffffff,2.0,2.0,0.0
836092fffffffff,16.0,16.0,0.0
836093fffffffff,6.0,3.0,0.0
836094fffffffff,1.0,1.0,0.0
836096fffffffff,8.0,8.0,0.0
836099fffffffff,6.0,6.0,0.0
8360a2fffffffff,27.0,27.0,0.0
8360a6fffffffff,7.0,7.0,0.0
8360a9fffffffff,3.0,3.0,0.0
8360b1fffffffff,13.0,13.0,0.0
8360b4fffffffff,8.0,8.0,0.0
8360b5fffffffff,2.0,2.0,0.0
836189fffffffff,16.0,16.0,0.0
83618bfffffffff,12.0,12.0,0.0
83619afffffffff,9.0,9.0,0.0
836482fffffffff,17.0,0.0,15.0
83648cfffffffff,1.0,1.0,0.0
