cell_id,Buteogallus anthracinus,Buteogallus anthracinus anthracinus,Buteogallus anthracinus [subtilis Group]
832688fffffffff,8.0,0.0,0.0
832689fffffffff,6.0,0.0,0.0
83268cfffffffff,54.0,6.0,0.0
83268efffffffff,4.0,0.0,0.0
83269cfffffffff,1.0,0.0,0.0
8326c5fffffffff,2.0,0.0,0.0
8326d2fffffffff,19.0,0.0,0.0
8326d3fffffffff,2.0,0.0,0.0
8326defffffffff,11.0,2.0,0.0
832831fffffffff,78.0,6.0,0.0
832836fffffffff,2.0,2.0,0.0
832982fffffffff,4.0,0.0,0.0
832986fffffffff,3.0,0.0,0.0
832995fffffffff,22.0,6.0,0.0
8329a3fffffffff,2.0,0.0,0.0
8329b0fffffffff,46.0,0.0,0.0
8329b2fffffffff,141.0,13.0,0.0
8329b5fffffffff,9.0,0.0,0.0
8329b6fffffffff,35.0,16.0,0.0
83446cfffffffff,2.0,0.0,0.0
834505fffffffff,21.0,9.0,2.0
83450afffffffff,1.0,0.0,0.0
83450bfffffffff,3.0,0.0,0.0
83450cfffffffff,1.0,0.0,0.0
834521fffffffff,43.0,0.0,2.0
834522fffffffff,2.0,2.0,0.0
834523fffffffff,7.0,1.0,0.0
834525fffffffff,4.0,4.0,0.0
834526fffffffff,1.0,1.0,0.0
83452afffffffff,4.0,0.0,0.0
83452dfffffffff,4.0,0.0,0.0
83452efffffffff,22.0,0.0,0.0
834564fffffffff,1.0,0.0,0.0
834805fffffffff,1.0,0.0,0.0
834814fffffffff,4.0,0.0,0.0
83481efffffffff,1.0,1.0,0.0
834833fffffffff,1.0,0.0,0.0
834836fffffffff,1.0,0.0,0.0
834880fffffffff,5.0,0.0,0.0
834886fffffffff,7.0,0.0,0.0
834888fffffffff,9.0,0.0,0.0
834889fffffffff,3.0,0.0,0.0
83488afffffffff,2.0,0.0,0.0
83488efffffffff,6.0,1.0,0.0
834892fffffffff,21.0,0.0,0.0
83489dfffffffff,1.0,0.0,0.0
83489efffffffff,3.0,3.0,0.0
