cell_id,Pteruthius intermedius,Pteruthius intermedius aenobarbulus,Pteruthius intermedius intermedius
824047fffffffff,3.0,0.0,0.0
82404ffffffffff,19.0,0.0,0.0
824067fffffffff,14.0,0.0,0.0
82406ffffffffff,4.0,0.0,0.0
82414ffffffffff,2.0,0.0,1.0
82415ffffffffff,5.0,0.0,3.0
824167fffffffff,4.0,0.0,0.0
824177fffffffff,1.0,0.0,0.0
826487fffffffff,554.0,0.0,176.0
826497fffffffff,124.0,0.0,30.0
82649ffffffffff,1.0,0.0,0.0
8264a7fffffffff,22.0,0.0,9.0
8264b7fffffffff,16.0,0.0,5.0
826597fffffffff,2.0,0.0,0.0
8265b7fffffffff,203.0,0.0,26.0
826937fffffffff,60.0,0.0,11.0
