cell_id,Sphyrapicus ruber,Sphyrapicus ruber ruber,Sphyrapicus ruber daggetti
821287fffffffff,254.0,0.0,0.0
82128ffffffffff,73.0,0.0,0.0
821297fffffffff,160.0,0.0,0.0
82129ffffffffff,106.0,0.0,0.0
8212a7fffffffff,21.0,0.0,0.0
8212affffffffff,497.0,0.0,0.0
8212b7fffffffff,641.0,0.0,0.0
8212d7fffffffff,129.0,0.0,0.0
8212dffffffffff,11.0,0.0,0.0
8212f7fffffffff,191.0,0.0,0.0
821397fffffffff,381.0,0.0,0.0
82139ffffffffff,744.0,0.0,0.0
821d27fffffffff,107.0,0.0,0.0
822807fffffffff,1440.0,0.0,0.0
822817fffffffff,5645.0,0.0,19.0
82281ffffffffff,4890.0,0.0,0.0
822837fffffffff,15482.0,0.0,246.0
82288ffffffffff,28.0,0.0,0.0
8228affffffffff,1722.0,0.0,0.0
8228c7fffffffff,503.0,0.0,0.0
8228cffffffffff,4.0,0.0,0.0
8228d7fffffffff,20848.0,0.0,0.0
8228dffffffffff,7910.0,23.0,0.0
8228f7fffffffff,17261.0,127.0,0.0
822917fffffffff,1274.0,0.0,0.0
82291ffffffffff,310.0,0.0,0.0
822987fffffffff,166.0,0.0,0.0
82298ffffffffff,5764.0,0.0,6.0
8229a7fffffffff,7012.0,0.0,0.0
8229affffffffff,5144.0,0.0,0.0
8229b7fffffffff,6.0,0.0,0.0
82485ffffffffff,53.0,0.0,0.0
