cell_id,Selenidera reinwardtii,Selenidera reinwardtii reinwardtii,Selenidera reinwardtii langsdorffii
82665ffffffffff,1.0,0.0,0.0
8266c7fffffffff,172.0,0.0,0.0
8266cffffffffff,34.0,0.0,0.0
8266d7fffffffff,111.0,0.0,0.0
8266dffffffffff,1311.0,96.0,0.0
8266effffffffff,11.0,0.0,0.0
828a07fffffffff,71.0,0.0,7.0
828a1ffffffffff,20.0,0.0,3.0
828a27fffffffff,1.0,0.0,0.0
828a2ffffffffff,3.0,0.0,0.0
828a47fffffffff,57.0,0.0,0.0
828a4ffffffffff,2.0,0.0,0.0
828a57fffffffff,2.0,0.0,0.0
828a6ffffffffff,136.0,0.0,0.0
828a77fffffffff,7.0,0.0,0.0
828aaffffffffff,2.0,0.0,0.0
828af7fffffffff,15.0,0.0,0.0
828b07fffffffff,3.0,0.0,0.0
828b47fffffffff,562.0,0.0,12.0
828b4ffffffffff,4.0,0.0,0.0
828b57fffffffff,7.0,0.0,5.0
828b5ffffffffff,3.0,0.0,0.0
828b67fffffffff,130.0,0.0,1.0
828b6ffffffffff,76.0,0.0,0.0
828b77fffffffff,47.0,0.0,4.0
828f47fffffffff,392.0,0.0,0.0
828f4ffffffffff,41.0,0.0,0.0
828f5ffffffffff,13.0,0.0,0.0
828f67fffffffff,51.0,0.0,0.0
828f6ffffffffff,23.0,0.0,0.0
828f77fffffffff,113.0,9.0,0.0
82b327fffffffff,4.0,0.0,0.0
