cell_id,Knipolegus aterrimus,Knipolegus aterrimus heterogyna,Knipolegus aterrimus aterrimus/anthracinus
848f553ffffffff,4.0,0.0,0.0
84a9611ffffffff,1.0,0.0,0.0
84a9613ffffffff,3.0,0.0,0.0
84b218bffffffff,2.0,0.0,0.0
84b242bffffffff,4.0,0.0,0.0
84b2493ffffffff,2.0,0.0,0.0
84b2497ffffffff,1.0,0.0,0.0
84b2499ffffffff,1.0,0.0,0.0
84b249dffffffff,12.0,0.0,0.0
84b24d1ffffffff,3.0,0.0,0.0
84b24d5ffffffff,9.0,0.0,0.0
84b25d5ffffffff,4.0,0.0,0.0
84b26bbffffffff,1.0,0.0,0.0
84b26bdffffffff,3.0,0.0,0.0
84b26d1ffffffff,3.0,0.0,0.0
84b270dffffffff,2.0,0.0,0.0
84b2e21ffffffff,12.0,0.0,0.0
84b2ec9ffffffff,1.0,0.0,0.0
84b2eebffffffff,3.0,0.0,0.0
84b2eedffffffff,1.0,0.0,0.0
84b343bffffffff,2.0,0.0,0.0
84b349dffffffff,1.0,0.0,0.0
84b3611ffffffff,2.0,0.0,0.0
84b3615ffffffff,2.0,0.0,0.0
84b361dffffffff,2.0,0.0,0.0
84c2cd3ffffffff,8.0,0.0,0.0
84c2e33ffffffff,4.0,0.0,0.0
84c2e9bffffffff,7.0,0.0,0.0
84c3203ffffffff,7.0,0.0,0.0
84c3219ffffffff,2.0,0.0,0.0
84c3241ffffffff,2.0,0.0,0.0
84c32e1ffffffff,2.0,0.0,0.0
84ce935ffffffff,1.0,0.0,0.0
84df41bffffffff,1.0,0.0,0.0
