cell_id,Polioptila plumbea,Polioptila plumbea plumbiceps/anteocularis,Polioptila plumbea innotata,Polioptila plumbea plumbea,Polioptila plumbea parvirostris,Polioptila plumbea atricapilla
845f4a7ffffffff,1.0,1.0,0.0,0.0,0.0,0.0
845f4b3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
846618bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8466203ffffffff,17.0,0.0,0.0,0.0,0.0,0.0
84662b5ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84662b7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84662c9ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8466411ffffffff,30.0,0.0,0.0,0.0,0.0,0.0
8466e45ffffffff,3.0,3.0,0.0,0.0,0.0,0.0
8466e65ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8466f11ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8466f5bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8467413ffffffff,4.0,1.0,0.0,0.0,0.0,0.0
8467423ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8467433ffffffff,1.0,1.0,0.0,0.0,0.0,0.0
846743bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846751bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8467535ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8467551ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8467553ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8480445ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8480737ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8481219ffffffff,1.0,0.0,0.0,0.0,0.0,1.0
8481245ffffffff,1.0,0.0,0.0,0.0,0.0,1.0
848124bffffffff,3.0,0.0,0.0,0.0,0.0,3.0
848124dffffffff,12.0,0.0,0.0,0.0,0.0,12.0
8481339ffffffff,2.0,0.0,0.0,0.0,0.0,2.0
8481507ffffffff,2.0,0.0,0.0,0.0,0.0,2.0
8481ad1ffffffff,1.0,0.0,0.0,0.0,0.0,1.0
848af0bffffffff,2.0,0.0,2.0,0.0,0.0,0.0
848b40dffffffff,3.0,0.0,0.0,0.0,0.0,0.0
848f401ffffffff,2.0,0.0,0.0,0.0,2.0,0.0
84a88a9ffffffff,1.0,0.0,0.0,0.0,0.0,1.0
