cell_id,Pelecanus occidentalis,Pelecanus occidentalis carolinensis,Pelecanus occidentalis californicus,Pelecanus occidentalis occidentalis/murphyi,Pelecanus occidentalis urinator
822807fffffffff,7259.0,0.0,81.0,0.0,0.0
82281ffffffffff,4869.0,0.0,379.0,0.0,0.0
822837fffffffff,92055.0,0.0,16614.0,0.0,0.0
8228c7fffffffff,10499.0,0.0,238.0,0.0,0.0
8228d7fffffffff,137.0,0.0,0.0,0.0,0.0
8228dffffffffff,53.0,0.0,0.0,0.0,0.0
8228e7fffffffff,62.0,0.0,0.0,0.0,0.0
8228f7fffffffff,10483.0,0.0,0.0,0.0,0.0
822917fffffffff,16152.0,0.0,20.0,0.0,0.0
82291ffffffffff,5507.0,0.0,628.0,0.0,0.0
8229a7fffffffff,53333.0,0.0,1809.0,0.0,0.0
8229affffffffff,8353.0,0.0,22.0,0.0,0.0
822a17fffffffff,1204.0,116.0,0.0,0.0,0.0
822a1ffffffffff,13.0,0.0,0.0,0.0,0.0
822aaffffffffff,13304.0,1075.0,0.0,0.0,0.0
822ac7fffffffff,3.0,0.0,0.0,0.0,0.0
822ad7fffffffff,10859.0,130.0,0.0,0.0,0.0
822af7fffffffff,29519.0,1855.0,0.0,0.0,0.0
824417fffffffff,31872.0,2579.0,0.0,0.0,0.0
82441ffffffffff,30984.0,1864.0,0.0,0.0,0.0
824427fffffffff,153.0,0.0,0.0,0.0,0.0
824437fffffffff,1506.0,0.0,0.0,194.0,0.0
824447fffffffff,5409.0,0.0,0.0,0.0,0.0
824457fffffffff,28462.0,0.0,0.0,0.0,0.0
824467fffffffff,2737.0,0.0,0.0,0.0,0.0
82446ffffffffff,33968.0,1477.0,0.0,0.0,0.0
824477fffffffff,9189.0,0.0,0.0,0.0,0.0
824487fffffffff,659.0,0.0,0.0,0.0,0.0
82448ffffffffff,4.0,0.0,0.0,0.0,0.0
8244a7fffffffff,7702.0,495.0,0.0,0.0,0.0
8244affffffffff,24012.0,2171.0,0.0,0.0,0.0
8244b7fffffffff,123.0,0.0,0.0,0.0,0.0
8244d7fffffffff,25113.0,235.0,0.0,0.0,0.0
8244e7fffffffff,9298.0,601.0,0.0,0.0,0.0
8244f7fffffffff,22630.0,1444.0,0.0,0.0,0.0
824507fffffffff,3967.0,33.0,0.0,0.0,0.0
82450ffffffffff,6343.0,0.0,0.0,0.0,0.0
82451ffffffffff,523.0,0.0,0.0,0.0,0.0
824527fffffffff,6519.0,21.0,0.0,0.0,0.0
82452ffffffffff,631.0,0.0,0.0,0.0,0.0
824537fffffffff,1790.0,0.0,0.0,0.0,0.0
82454ffffffffff,29.0,0.0,0.0,0.0,0.0
824557fffffffff,18.0,0.0,0.0,0.0,0.0
82455ffffffffff,1.0,0.0,0.0,0.0,0.0
82456ffffffffff,13.0,0.0,0.0,0.0,0.0
824577fffffffff,2646.0,68.0,0.0,0.0,0.0
824587fffffffff,103.0,0.0,0.0,0.0,0.0
82458ffffffffff,1375.0,0.0,0.0,193.0,0.0
824597fffffffff,73.0,0.0,0.0,7.0,0.0
82459ffffffffff,2414.0,0.0,0.0,435.0,0.0
8245a7fffffffff,291.0,0.0,0.0,0.0,0.0
8245b7fffffffff,1372.0,0.0,0.0,0.0,0.0
824807fffffffff,558.0,0.0,91.0,0.0,0.0
82480ffffffffff,1898.0,0.0,44.0,0.0,0.0
824827fffffffff,1010.0,0.0,0.0,0.0,0.0
82482ffffffffff,1781.0,0.0,0.0,0.0,0.0
824837fffffffff,5557.0,0.0,78.0,0.0,0.0
824847fffffffff,305.0,0.0,0.0,0.0,0.0
82484ffffffffff,604.0,0.0,0.0,0.0,0.0
824857fffffffff,1004.0,0.0,127.0,0.0,0.0
82485ffffffffff,4232.0,0.0,22.0,0.0,0.0
824877fffffffff,720.0,0.0,0.0,0.0,0.0
824887fffffffff,9.0,0.0,0.0,0.0,0.0
824897fffffffff,28087.0,456.0,0.0,0.0,0.0
8248a7fffffffff,68.0,0.0,0.0,0.0,0.0
8248b7fffffffff,16468.0,0.0,0.0,0.0,0.0
8248c7fffffffff,15.0,0.0,0.0,0.0,0.0
8248effffffffff,25.0,0.0,0.0,0.0,0.0
824987fffffffff,3.0,0.0,0.0,0.0,0.0
824997fffffffff,1901.0,299.0,0.0,0.0,0.0
82499ffffffffff,13.0,0.0,0.0,0.0,0.0
8249a7fffffffff,267.0,0.0,0.0,0.0,0.0
8249affffffffff,1730.0,0.0,57.0,0.0,0.0
8249b7fffffffff,156.0,0.0,0.0,0.0,0.0
824c87fffffffff,370.0,0.0,0.0,0.0,0.0
824c8ffffffffff,140.0,0.0,0.0,0.0,0.0
824c97fffffffff,46.0,0.0,0.0,0.0,0.0
824c9ffffffffff,150.0,0.0,0.0,12.0,0.0
824caffffffffff,93.0,0.0,0.0,0.0,0.0
824cc7fffffffff,7669.0,0.0,0.0,0.0,0.0
824cd7fffffffff,669.0,0.0,0.0,0.0,0.0
824ceffffffffff,6978.0,0.0,0.0,18.0,0.0
824cf7fffffffff,256.0,0.0,0.0,0.0,0.0
824d4ffffffffff,1413.0,0.0,0.0,0.0,0.0
825e47fffffffff,413.0,0.0,0.0,6.0,0.0
825e4ffffffffff,477.0,0.0,0.0,0.0,0.0
825e5ffffffffff,985.0,0.0,0.0,0.0,0.0
825e67fffffffff,656.0,0.0,0.0,2.0,0.0
825e77fffffffff,49.0,0.0,0.0,0.0,0.0
825f0ffffffffff,217.0,0.0,0.0,0.0,0.0
825f17fffffffff,1.0,0.0,0.0,0.0,0.0
825f1ffffffffff,4.0,0.0,0.0,0.0,0.0
825f4ffffffffff,764.0,0.0,0.0,4.0,0.0
825f57fffffffff,4.0,0.0,0.0,0.0,0.0
825f5ffffffffff,1886.0,0.0,0.0,0.0,0.0
826607fffffffff,398.0,0.0,0.0,0.0,0.0
826617fffffffff,732.0,0.0,0.0,0.0,0.0
82661ffffffffff,474.0,0.0,0.0,9.0,0.0
826627fffffffff,3237.0,93.0,0.0,64.0,0.0
82662ffffffffff,22.0,0.0,0.0,0.0,0.0
826637fffffffff,961.0,11.0,0.0,14.0,0.0
826687fffffffff,27.0,0.0,0.0,0.0,0.0
8266a7fffffffff,9467.0,0.0,0.0,0.0,0.0
8266affffffffff,23.0,0.0,0.0,0.0,0.0
8266b7fffffffff,5319.0,0.0,0.0,0.0,0.0
8266d7fffffffff,637.0,0.0,0.0,50.0,0.0
8266f7fffffffff,562.0,0.0,0.0,2.0,0.0
826727fffffffff,158.0,0.0,0.0,0.0,0.0
826737fffffffff,553.0,0.0,0.0,0.0,0.0
826747fffffffff,2405.0,0.0,0.0,14.0,0.0
82674ffffffffff,613.0,0.0,0.0,1.0,0.0
826757fffffffff,2623.0,0.0,0.0,8.0,0.0
82676ffffffffff,187.0,0.0,0.0,2.0,0.0
826777fffffffff,1583.0,0.0,0.0,0.0,0.0
826787fffffffff,60.0,0.0,0.0,0.0,0.0
826797fffffffff,52.0,0.0,0.0,0.0,0.0
82679ffffffffff,2235.0,0.0,0.0,0.0,0.0
8267b7fffffffff,18.0,0.0,0.0,0.0,0.0
826c5ffffffffff,5558.0,0.0,0.0,0.0,1787.0
826d07fffffffff,887.0,31.0,0.0,0.0,0.0
826d0ffffffffff,2.0,0.0,0.0,0.0,0.0
826d17fffffffff,984.0,0.0,0.0,0.0,0.0
826d27fffffffff,1058.0,11.0,0.0,0.0,0.0
826d2ffffffffff,1168.0,9.0,0.0,0.0,0.0
826d37fffffffff,2170.0,117.0,0.0,0.0,0.0
826d4ffffffffff,2.0,0.0,0.0,0.0,0.0
826d67fffffffff,2379.0,0.0,0.0,0.0,0.0
826d6ffffffffff,10453.0,0.0,0.0,0.0,0.0
826d77fffffffff,1415.0,0.0,0.0,0.0,0.0
828e27fffffffff,2.0,0.0,0.0,0.0,0.0
828f0ffffffffff,476.0,0.0,1.0,0.0,0.0
828f27fffffffff,44.0,0.0,0.0,0.0,0.0
828f2ffffffffff,2276.0,0.0,5.0,102.0,0.0
828f57fffffffff,71.0,0.0,0.0,0.0,0.0
828f5ffffffffff,2.0,0.0,0.0,0.0,0.0
828fa7fffffffff,1619.0,0.0,0.0,0.0,428.0
828fb7fffffffff,4.0,0.0,0.0,0.0,0.0
