cell_id,Pteruthius aeralatus,Pteruthius aeralatus ripleyi,Pteruthius aeralatus validirostris,Pteruthius aeralatus ricketti,Pteruthius aeralatus [aeralatus Group],Pteruthius aeralatus annamensis
843c029ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
843c02dffffffff,7.0,7.0,0.0,0.0,0.0,0.0
843c067ffffffff,7.0,7.0,0.0,0.0,0.0,0.0
843c0a5ffffffff,36.0,29.0,0.0,0.0,0.0,0.0
843c0a9ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
843c0adffffffff,5.0,3.0,0.0,0.0,0.0,0.0
843c199ffffffff,14.0,12.0,0.0,0.0,0.0,0.0
843c1d1ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
843c1d3ffffffff,15.0,9.0,3.0,0.0,0.0,0.0
843c1dbffffffff,2.0,2.0,0.0,0.0,0.0,0.0
843c527ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
843c5b7ffffffff,5.0,0.0,5.0,0.0,0.0,0.0
843c5bdffffffff,3.0,0.0,3.0,0.0,0.0,0.0
843c5cbffffffff,9.0,0.0,9.0,0.0,0.0,0.0
843ce29ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
843ce4dffffffff,4.0,0.0,0.0,0.0,0.0,0.0
843ce53ffffffff,2.0,0.0,2.0,0.0,0.0,0.0
843ce85ffffffff,3.0,0.0,1.0,0.0,0.0,0.0
843d137ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
843d139ffffffff,2.0,1.0,0.0,0.0,0.0,0.0
843d307ffffffff,1.0,1.0,0.0,0.0,0.0,0.0
843dad1ffffffff,12.0,10.0,0.0,0.0,0.0,0.0
843dad9ffffffff,8.0,7.0,0.0,0.0,0.0,0.0
843daddffffffff,4.0,4.0,0.0,0.0,0.0,0.0
84404c5ffffffff,10.0,0.0,0.0,0.0,10.0,0.0
8440529ffffffff,2.0,0.0,0.0,2.0,0.0,0.0
8440ec5ffffffff,2.0,0.0,0.0,2.0,0.0,0.0
84415c3ffffffff,2.0,0.0,0.0,2.0,0.0,0.0
8441617ffffffff,1.0,0.0,0.0,0.0,1.0,0.0
8441715ffffffff,2.0,0.0,0.0,0.0,2.0,0.0
8441b31ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
846416dffffffff,3.0,0.0,0.0,0.0,3.0,0.0
846434bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8464911ffffffff,4.0,0.0,0.0,0.0,3.0,0.0
8465033ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84651c1ffffffff,16.0,0.0,0.0,0.0,12.0,0.0
8465817ffffffff,5.0,0.0,0.0,0.0,5.0,0.0
8465b2bffffffff,5.0,0.0,0.0,0.0,0.0,2.0
