cell_id,Dendrexetastes rufigula,Dendrexetastes rufigula devillei,Dendrexetastes rufigula rufigula,Dendrexetastes rufigula paraensis/moniliger
825f07fffffffff,1.0,0.0,1.0,0.0
826647fffffffff,29.0,0.0,0.0,0.0
8266c7fffffffff,40.0,0.0,0.0,0.0
8266d7fffffffff,12.0,0.0,0.0,0.0
8266dffffffffff,4.0,0.0,0.0,0.0
8266e7fffffffff,2.0,0.0,0.0,0.0
8266effffffffff,20.0,0.0,0.0,0.0
828a1ffffffffff,1.0,1.0,0.0,0.0
828a47fffffffff,1.0,0.0,0.0,0.0
828af7fffffffff,5.0,4.0,0.0,0.0
828b5ffffffffff,1.0,1.0,0.0,0.0
828b67fffffffff,2.0,2.0,0.0,0.0
828f4ffffffffff,2.0,0.0,0.0,0.0
828f77fffffffff,2.0,0.0,0.0,0.0
