cell_id,Geospizopsis unicolor,Geospizopsis unicolor nivaria/geospizopsis,Geospizopsis unicolor inca,Geospizopsis unicolor [unicolor Group]
8466083ffffffff,6.0,0.0,0.0,0.0
8466089ffffffff,3.0,0.0,0.0,0.0
846608bffffffff,6.0,0.0,0.0,0.0
8466095ffffffff,19.0,0.0,0.0,0.0
8466099ffffffff,1.0,0.0,0.0,0.0
846609dffffffff,22.0,0.0,0.0,0.0
84660b5ffffffff,2.0,0.0,0.0,0.0
84660b9ffffffff,21.0,0.0,0.0,0.0
84660bbffffffff,67.0,0.0,0.0,0.0
84660c1ffffffff,14.0,0.0,0.0,0.0
84660c3ffffffff,44.0,0.0,0.0,0.0
84660d5ffffffff,28.0,0.0,0.0,0.0
84660d7ffffffff,4.0,0.0,0.0,0.0
8466207ffffffff,97.0,0.0,0.0,0.0
846623dffffffff,10.0,0.0,0.0,0.0
8466291ffffffff,15.0,0.0,0.0,0.0
8466299ffffffff,135.0,0.0,0.0,0.0
84662b1ffffffff,10.0,0.0,0.0,0.0
84662d3ffffffff,10.0,0.0,0.0,0.0
8466c61ffffffff,5.0,0.0,0.0,0.0
8466c69ffffffff,20.0,0.0,0.0,0.0
8466d15ffffffff,6.0,0.0,0.0,0.0
8466d1dffffffff,19.0,0.0,0.0,0.0
8466d31ffffffff,44.0,0.0,0.0,0.0
8466d33ffffffff,1742.0,0.0,0.0,0.0
8466d37ffffffff,2.0,0.0,0.0,0.0
8466d3bffffffff,55.0,0.0,0.0,0.0
8466d57ffffffff,5.0,0.0,0.0,0.0
8466da5ffffffff,7.0,0.0,0.0,0.0
8466de5ffffffff,1925.0,0.0,0.0,0.0
8466dedffffffff,124.0,0.0,0.0,0.0
8466e01ffffffff,58.0,0.0,0.0,0.0
8466e07ffffffff,16.0,0.0,0.0,0.0
8466e09ffffffff,747.0,0.0,0.0,0.0
8466e25ffffffff,2.0,0.0,0.0,0.0
8466e2dffffffff,7.0,0.0,0.0,0.0
8466e41ffffffff,6.0,0.0,0.0,0.0
8466e43ffffffff,514.0,0.0,0.0,0.0
8466e4bffffffff,1.0,0.0,0.0,0.0
8466e55ffffffff,85.0,0.0,0.0,0.0
8466e5dffffffff,1.0,0.0,0.0,0.0
8466e61ffffffff,240.0,0.0,0.0,0.0
8466e65ffffffff,19.0,0.0,0.0,0.0
8466e67ffffffff,24.0,0.0,0.0,0.0
8466e69ffffffff,3.0,0.0,0.0,0.0
8466e6dffffffff,2271.0,0.0,0.0,0.0
8466f13ffffffff,1.0,0.0,0.0,0.0
8466f15ffffffff,4.0,0.0,0.0,0.0
8466f19ffffffff,2.0,0.0,0.0,0.0
8466f1dffffffff,2.0,0.0,0.0,0.0
84675a5ffffffff,1.0,0.0,0.0,0.0
848b211ffffffff,6.0,0.0,0.0,0.0
848b213ffffffff,2.0,0.0,0.0,0.0
848b21bffffffff,8.0,0.0,0.0,0.0
848b259ffffffff,13.0,0.0,0.0,0.0
848b2c1ffffffff,20.0,0.0,0.0,0.0
848b2c9ffffffff,71.0,0.0,0.0,0.0
848b2cbffffffff,19.0,0.0,0.0,0.0
848b2cdffffffff,21.0,0.0,0.0,0.0
848b2d9ffffffff,2.0,0.0,0.0,0.0
848b601ffffffff,3.0,0.0,0.0,0.0
848b603ffffffff,15.0,0.0,0.0,0.0
848b605ffffffff,5.0,0.0,0.0,0.0
848b609ffffffff,4.0,0.0,0.0,0.0
848b60bffffffff,12.0,0.0,0.0,0.0
848b611ffffffff,212.0,0.0,0.0,0.0
848b613ffffffff,15.0,0.0,0.0,0.0
848b617ffffffff,21.0,0.0,0.0,0.0
848b61bffffffff,41.0,0.0,0.0,0.0
848b61dffffffff,2.0,0.0,0.0,0.0
848b645ffffffff,2.0,0.0,0.0,0.0
848b665ffffffff,6.0,0.0,0.0,0.0
848b6c9ffffffff,32.0,0.0,0.0,0.0
848b6cdffffffff,737.0,0.0,0.0,0.0
848b759ffffffff,2.0,0.0,0.0,0.0
848e601ffffffff,3.0,0.0,0.0,0.0
848e603ffffffff,15.0,0.0,0.0,0.0
