cell_id,Ducula basilica,Ducula basilica basilica,Ducula basilica obiensis
837390fffffffff,301.0,15.0,0.0
837392fffffffff,2.0,0.0,0.0
837395fffffffff,10.0,0.0,0.0
839561fffffffff,34.0,0.0,0.0
83956cfffffffff,2.0,0.0,1.0
