cell_id,Milvus migrans,Milvus migrans [migrans Group],Milvus migrans lineatus/formosanus,Milvus migrans aegyptius/parasitus
840886bffffffff,1.0,1.0,0.0,0.0
8408a35ffffffff,1.0,0.0,0.0,0.0
8408b0dffffffff,4.0,0.0,0.0,0.0
840991bffffffff,5.0,2.0,0.0,0.0
84159e9ffffffff,1.0,0.0,0.0,0.0
8418491ffffffff,2.0,0.0,0.0,0.0
8418493ffffffff,8.0,0.0,0.0,0.0
8418495ffffffff,18.0,0.0,0.0,0.0
8418497ffffffff,4.0,0.0,0.0,0.0
84184b1ffffffff,17.0,5.0,0.0,0.0
84184b5ffffffff,6.0,6.0,0.0,0.0
84184b7ffffffff,2.0,0.0,0.0,0.0
84184b9ffffffff,10.0,0.0,0.0,0.0
84184bbffffffff,2.0,0.0,0.0,0.0
84184bdffffffff,11.0,11.0,0.0,0.0
84184d5ffffffff,2.0,0.0,0.0,0.0
84184ddffffffff,3.0,1.0,0.0,0.0
8418597ffffffff,4.0,0.0,0.0,0.0
84185b3ffffffff,2.0,2.0,0.0,0.0
84185bbffffffff,12.0,0.0,0.0,0.0
841870dffffffff,1.0,0.0,0.0,0.0
8418729ffffffff,2.0,0.0,0.0,0.0
8419415ffffffff,1.0,0.0,1.0,0.0
8419439ffffffff,1.0,0.0,0.0,0.0
841943dffffffff,1.0,1.0,0.0,0.0
8419485ffffffff,10.0,1.0,0.0,0.0
841948dffffffff,2.0,0.0,0.0,0.0
84194c5ffffffff,6.0,0.0,0.0,0.0
84194d7ffffffff,4.0,0.0,0.0,0.0
84194e1ffffffff,2.0,0.0,0.0,0.0
841959bffffffff,1.0,0.0,0.0,0.0
84195e3ffffffff,1.0,0.0,0.0,0.0
8419683ffffffff,1.0,0.0,0.0,0.0
841e037ffffffff,2.0,0.0,0.0,0.0
841e045ffffffff,3.0,0.0,0.0,0.0
841e047ffffffff,2.0,0.0,0.0,0.0
841e059ffffffff,4.0,0.0,0.0,0.0
841e061ffffffff,4.0,0.0,0.0,0.0
841e067ffffffff,14.0,0.0,0.0,0.0
841e06bffffffff,3.0,0.0,0.0,0.0
841e06dffffffff,3.0,0.0,0.0,0.0
841e0a9ffffffff,6.0,0.0,0.0,0.0
841e121ffffffff,2.0,0.0,0.0,0.0
841e139ffffffff,4.0,0.0,0.0,0.0
841e15bffffffff,2.0,0.0,0.0,0.0
