cell_id,Thalassarche cauta,Thalassarche cauta cauta,Thalassarche cauta steadi
832831fffffffff,4.0,0.0,0.0
8328e6fffffffff,5.0,0.0,0.0
83ad34fffffffff,30.0,0.0,3.0
83ad36fffffffff,19.0,0.0,8.0
83b218fffffffff,2.0,0.0,0.0
83b219fffffffff,1.0,0.0,0.0
83b21dfffffffff,2.0,0.0,0.0
83b2c4fffffffff,41.0,3.0,0.0
83bb08fffffffff,1.0,0.0,0.0
83bb0afffffffff,1.0,0.0,0.0
83bb0cfffffffff,13.0,0.0,11.0
83bb0efffffffff,1.0,0.0,0.0
83bb24fffffffff,1.0,0.0,1.0
83bb28fffffffff,13.0,0.0,13.0
83bb29fffffffff,40.0,2.0,18.0
83bb2bfffffffff,8.0,0.0,2.0
83bb2dfffffffff,47.0,0.0,0.0
83bb53fffffffff,52.0,0.0,6.0
83bb54fffffffff,11.0,0.0,0.0
83bb56fffffffff,16.0,0.0,14.0
83bb5afffffffff,2.0,0.0,2.0
83bb5efffffffff,2.0,0.0,0.0
83bb74fffffffff,3.0,0.0,0.0
83bc1bfffffffff,6.0,0.0,3.0
83be08fffffffff,2.0,0.0,0.0
83be0cfffffffff,20.0,0.0,9.0
83be0efffffffff,29.0,5.0,12.0
83be1dfffffffff,8.0,0.0,4.0
83be29fffffffff,39.0,2.0,13.0
83be63fffffffff,20.0,0.0,0.0
83be68fffffffff,14.0,0.0,0.0
83be69fffffffff,3.0,3.0,0.0
83be76fffffffff,2.0,0.0,0.0
83be88fffffffff,10.0,0.0,0.0
83beabfffffffff,6.0,0.0,0.0
83bf1bfffffffff,2.0,0.0,0.0
83bf22fffffffff,1.0,0.0,0.0
83bf2bfffffffff,5.0,0.0,0.0
83bf5bfffffffff,19.0,0.0,5.0
83bf70fffffffff,4.0,0.0,0.0
83bf71fffffffff,1.0,0.0,0.0
83bf76fffffffff,5.0,0.0,0.0
83c203fffffffff,13.0,0.0,0.0
83c214fffffffff,1.0,0.0,0.0
83c215fffffffff,4.0,0.0,0.0
83c21afffffffff,1.0,0.0,0.0
83c21cfffffffff,23.0,0.0,1.0
83c986fffffffff,2.0,0.0,0.0
83c99cfffffffff,1.0,0.0,0.0
83c99efffffffff,7.0,0.0,0.0
83c9b0fffffffff,2.0,0.0,0.0
83cb19fffffffff,2.0,0.0,0.0
83cb2dfffffffff,2.0,0.0,0.0
83cc46fffffffff,2.0,0.0,0.0
83cc50fffffffff,2.0,0.0,0.0
83cf02fffffffff,4.0,0.0,0.0
83d6defffffffff,2.0,0.0,2.0
83d8b6fffffffff,2.0,0.0,0.0
83da08fffffffff,1.0,0.0,1.0
83da09fffffffff,3.0,0.0,0.0
83da0afffffffff,1.0,0.0,0.0
83da0cfffffffff,1.0,0.0,0.0
83da18fffffffff,1.0,0.0,0.0
83da1afffffffff,1.0,0.0,1.0
83da84fffffffff,127.0,0.0,5.0
83da85fffffffff,7.0,0.0,0.0
83da86fffffffff,2.0,0.0,0.0
83da8efffffffff,2.0,0.0,2.0
83da92fffffffff,4.0,0.0,0.0
83da93fffffffff,16.0,0.0,0.0
83da9cfffffffff,3.0,0.0,0.0
83daa2fffffffff,1.0,0.0,1.0
83daa8fffffffff,1.0,0.0,0.0
83daa9fffffffff,5.0,0.0,5.0
83daaafffffffff,39.0,0.0,7.0
83dab2fffffffff,1.0,0.0,1.0
83dab3fffffffff,2.0,0.0,0.0
83db81fffffffff,1.0,0.0,1.0
83db8dfffffffff,2.0,0.0,2.0
83db9cfffffffff,2.0,0.0,2.0
83dcdafffffffff,2.0,0.0,0.0
83dcddfffffffff,1.0,0.0,1.0
83df5cfffffffff,2.0,0.0,0.0
