cell_id,Sporophila leucoptera,Sporophila leucoptera bicolor,Sporophila leucoptera [leucoptera Group]
825f27fffffffff,8.0,0.0,0.0
828047fffffffff,6.0,0.0,0.0
828077fffffffff,2.0,0.0,0.0
828107fffffffff,114.0,0.0,4.0
828117fffffffff,3.0,0.0,1.0
828127fffffffff,86.0,0.0,3.0
82812ffffffffff,2.0,0.0,0.0
828137fffffffff,280.0,0.0,14.0
828147fffffffff,37.0,0.0,0.0
82814ffffffffff,2.0,0.0,0.0
82815ffffffffff,2.0,0.0,0.0
828167fffffffff,22.0,0.0,0.0
828177fffffffff,41.0,0.0,0.0
828187fffffffff,10.0,0.0,0.0
8281affffffffff,10.0,0.0,0.0
828b07fffffffff,10.0,0.0,0.0
828b0ffffffffff,112.0,0.0,0.0
828b27fffffffff,245.0,0.0,0.0
828b2ffffffffff,144.0,0.0,0.0
828b37fffffffff,7.0,0.0,0.0
828b57fffffffff,14.0,0.0,0.0
828b77fffffffff,5.0,0.0,0.0
828ba7fffffffff,69.0,0.0,2.0
828bb7fffffffff,19.0,0.0,0.0
82a597fffffffff,48.0,0.0,0.0
82a807fffffffff,12.0,0.0,1.0
82a80ffffffffff,7.0,0.0,0.0
82a817fffffffff,656.0,0.0,15.0
82a81ffffffffff,827.0,0.0,1.0
82a82ffffffffff,32.0,0.0,0.0
82a847fffffffff,214.0,0.0,0.0
82a84ffffffffff,4.0,0.0,0.0
82a857fffffffff,31.0,0.0,0.0
82a85ffffffffff,580.0,0.0,17.0
82a867fffffffff,32.0,0.0,0.0
82a86ffffffffff,22.0,0.0,0.0
82a877fffffffff,22.0,0.0,0.0
82a887fffffffff,164.0,0.0,3.0
82a88ffffffffff,95.0,0.0,6.0
82a897fffffffff,31.0,0.0,0.0
82a89ffffffffff,2.0,0.0,0.0
82a8a7fffffffff,527.0,0.0,17.0
82a8affffffffff,194.0,0.0,9.0
82a8b7fffffffff,5.0,0.0,0.0
82a8c7fffffffff,60.0,0.0,0.0
82a8cffffffffff,4.0,0.0,1.0
82a8d7fffffffff,108.0,0.0,13.0
82a8dffffffffff,1.0,0.0,0.0
82a8e7fffffffff,13.0,0.0,0.0
82a8f7fffffffff,16.0,0.0,0.0
82a947fffffffff,649.0,0.0,2.0
82a94ffffffffff,1034.0,0.0,0.0
82a957fffffffff,19.0,0.0,0.0
82a95ffffffffff,89.0,0.0,0.0
82a967fffffffff,88.0,0.0,0.0
82a96ffffffffff,191.0,0.0,0.0
82b367fffffffff,6.0,0.0,0.0
82c2cffffffffff,10.0,0.0,0.0
