cell_id,Catharus aurantiirostris,Catharus aurantiirostris [melpomene Group],Catharus aurantiirostris [griseiceps Group],Catharus aurantiirostris [aurantiirostris Group]
83278bfffffffff,11.0,0.0,0.0,0.0
834520fffffffff,2.0,0.0,0.0,0.0
834525fffffffff,2.0,2.0,0.0,0.0
834833fffffffff,4.0,0.0,0.0,0.0
834836fffffffff,1.0,1.0,0.0,0.0
8348a2fffffffff,5.0,0.0,0.0,0.0
8348cafffffffff,4.0,0.0,0.0,0.0
834980fffffffff,3.0,0.0,0.0,0.0
834982fffffffff,3.0,0.0,0.0,0.0
834988fffffffff,2.0,0.0,0.0,0.0
834994fffffffff,3.0,3.0,0.0,0.0
834995fffffffff,35.0,11.0,0.0,0.0
834996fffffffff,17.0,8.0,0.0,0.0
834998fffffffff,1.0,1.0,0.0,0.0
8349a2fffffffff,8.0,0.0,0.0,0.0
8349a3fffffffff,2.0,0.0,0.0,0.0
8349a8fffffffff,7.0,7.0,0.0,0.0
8349aafffffffff,2.0,0.0,0.0,0.0
8349b3fffffffff,19.0,9.0,0.0,0.0
835f58fffffffff,5.0,0.0,0.0,0.0
836629fffffffff,2.0,0.0,0.0,0.0
8366b4fffffffff,41.0,1.0,11.0,0.0
8366b5fffffffff,7.0,0.0,3.0,2.0
8366c2fffffffff,1.0,0.0,0.0,0.0
8366f1fffffffff,5.0,0.0,0.0,0.0
836743fffffffff,1.0,0.0,0.0,1.0
83674efffffffff,6.0,0.0,0.0,1.0
836751fffffffff,1.0,0.0,0.0,0.0
83675afffffffff,12.0,0.0,0.0,0.0
83675cfffffffff,2.0,0.0,0.0,0.0
836796fffffffff,1.0,0.0,0.0,0.0
836d05fffffffff,1.0,1.0,0.0,0.0
836d23fffffffff,5.0,1.0,0.0,0.0
836d28fffffffff,2.0,0.0,0.0,0.0
836d2afffffffff,2.0,0.0,0.0,0.0
836d2bfffffffff,7.0,2.0,0.0,0.0
836d2dfffffffff,31.0,30.0,0.0,0.0
836d30fffffffff,7.0,7.0,0.0,0.0
836d32fffffffff,1.0,0.0,0.0,0.0
836d36fffffffff,4.0,0.0,0.0,0.0
836d61fffffffff,2.0,0.0,0.0,0.0
836d64fffffffff,1.0,0.0,0.0,0.0
836d65fffffffff,2.0,0.0,0.0,2.0
836d68fffffffff,10.0,0.0,0.0,0.0
836d69fffffffff,130.0,101.0,0.0,2.0
836d74fffffffff,2.0,0.0,0.0,0.0
