cell_id,Chlorospingus flavigularis,Chlorospingus flavigularis hypophaeus,Chlorospingus flavigularis flavigularis/marginatus
8466165ffffffff,2.0,0.0,0.0
8466187ffffffff,2.0,0.0,2.0
84661d1ffffffff,15.0,0.0,15.0
84661ddffffffff,1.0,0.0,1.0
8466b5bffffffff,5.0,1.0,0.0
8466c21ffffffff,2.0,0.0,2.0
8466d0bffffffff,11.0,0.0,0.0
8466d31ffffffff,3.0,0.0,1.0
8466d35ffffffff,2.0,0.0,0.0
8466de1ffffffff,4.0,0.0,0.0
8466de9ffffffff,2.0,0.0,0.0
8466debffffffff,2.0,0.0,0.0
8466f1dffffffff,2.0,0.0,0.0
848b617ffffffff,9.0,0.0,9.0
848b6edffffffff,5.0,0.0,0.0
848f4b3ffffffff,10.0,0.0,0.0
848f727ffffffff,1.0,0.0,0.0
848f729ffffffff,2.0,0.0,0.0
848f74dffffffff,2.0,0.0,0.0
