cell_id,Rhea pennata,Rhea pennata tarapacensis/garleppi,Rhea pennata pennata
83b209fffffffff,1.0,0.0,1.0
83b229fffffffff,4.0,0.0,0.0
83b22bfffffffff,2.0,1.0,0.0
83b2eefffffffff,3.0,3.0,0.0
83b305fffffffff,32.0,23.0,0.0
83b30cfffffffff,6.0,4.0,0.0
83b322fffffffff,19.0,0.0,0.0
83b323fffffffff,3.0,0.0,0.0
83b351fffffffff,4.0,4.0,0.0
83b353fffffffff,6.0,6.0,0.0
83b354fffffffff,21.0,2.0,2.0
83b355fffffffff,9.0,0.0,0.0
83b356fffffffff,2.0,0.0,0.0
83b373fffffffff,33.0,10.0,0.0
83c301fffffffff,3.0,0.0,3.0
83c305fffffffff,1.0,0.0,1.0
83c320fffffffff,2.0,0.0,2.0
83c321fffffffff,3.0,0.0,3.0
83c32afffffffff,16.0,0.0,16.0
83ce80fffffffff,2.0,0.0,2.0
83cf12fffffffff,3.0,0.0,3.0
83cf16fffffffff,1.0,0.0,0.0
83cf8afffffffff,27.0,0.0,10.0
83cf8bfffffffff,3.0,0.0,3.0
83cf9dfffffffff,1.0,0.0,0.0
83cfa0fffffffff,2.0,0.0,0.0
83cfa1fffffffff,1.0,0.0,1.0
83df69fffffffff,3.0,0.0,2.0
83df6dfffffffff,3.0,0.0,0.0
