cell_id,Corvus macrorhynchos,Corvus macrorhynchos [macrorhynchos Group],Corvus macrorhynchos culminatus,Corvus macrorhynchos levaillantii
82148ffffffffff,21.0,0.0,0.0,0.0
82149ffffffffff,19.0,19.0,0.0,0.0
8214affffffffff,62.0,0.0,0.0,0.0
8214b7fffffffff,1.0,0.0,0.0,0.0
8214cffffffffff,4.0,0.0,0.0,0.0
82158ffffffffff,2.0,0.0,0.0,0.0
82159ffffffffff,25.0,0.0,0.0,0.0
82209ffffffffff,286.0,24.0,5.0,0.0
82248ffffffffff,41.0,20.0,0.0,0.0
82249ffffffffff,3.0,1.0,0.0,0.0
8224c7fffffffff,44.0,27.0,0.0,0.0
8224cffffffffff,2.0,0.0,0.0,0.0
8224d7fffffffff,10.0,3.0,0.0,0.0
822e07fffffffff,1.0,0.0,0.0,0.0
822e0ffffffffff,179.0,16.0,0.0,0.0
822e17fffffffff,540.0,151.0,0.0,0.0
822e1ffffffffff,276.0,31.0,0.0,0.0
822e2ffffffffff,97.0,4.0,0.0,0.0
822e47fffffffff,26.0,3.0,0.0,0.0
822e67fffffffff,1148.0,70.0,0.0,0.0
822e6ffffffffff,867.0,10.0,0.0,0.0
822e77fffffffff,586.0,172.0,0.0,0.0
822e8ffffffffff,103.0,84.0,0.0,0.0
822e9ffffffffff,10.0,10.0,0.0,0.0
822ea7fffffffff,11.0,11.0,0.0,0.0
822eaffffffffff,930.0,305.0,0.0,0.0
822ec7fffffffff,11.0,0.0,0.0,0.0
822ecffffffffff,17.0,0.0,0.0,0.0
822ed7fffffffff,5.0,0.0,0.0,0.0
822edffffffffff,3.0,0.0,0.0,0.0
822ee7fffffffff,2.0,0.0,0.0,0.0
822eeffffffffff,1.0,0.0,0.0,0.0
822ef7fffffffff,46.0,2.0,0.0,0.0
822f47fffffffff,32.0,5.0,0.0,0.0
822f5ffffffffff,2784.0,354.0,0.0,0.0
82301ffffffffff,142.0,14.0,0.0,0.0
823027fffffffff,1.0,1.0,0.0,0.0
823037fffffffff,30.0,6.0,0.0,0.0
823087fffffffff,4.0,2.0,0.0,0.0
823097fffffffff,1.0,1.0,0.0,0.0
82309ffffffffff,206.0,138.0,0.0,0.0
8230c7fffffffff,382.0,33.0,0.0,0.0
8230cffffffffff,28.0,1.0,0.0,0.0
8230d7fffffffff,100.0,4.0,0.0,0.0
8230dffffffffff,130.0,2.0,0.0,0.0
8230e7fffffffff,1987.0,77.0,0.0,0.0
8230effffffffff,150.0,2.0,0.0,0.0
8230f7fffffffff,5.0,0.0,0.0,0.0
823117fffffffff,3.0,1.0,0.0,0.0
823147fffffffff,6.0,0.0,0.0,0.0
823157fffffffff,3.0,3.0,0.0,0.0
82315ffffffffff,17.0,1.0,0.0,0.0
823167fffffffff,5.0,0.0,0.0,0.0
82316ffffffffff,228.0,66.0,0.0,0.0
823187fffffffff,893.0,641.0,0.0,0.0
82318ffffffffff,5.0,3.0,0.0,0.0
823197fffffffff,24.0,4.0,0.0,0.0
8231a7fffffffff,4.0,4.0,0.0,0.0
8231affffffffff,1190.0,593.0,0.0,0.0
823c07fffffffff,3236.0,175.0,327.0,2.0
823c0ffffffffff,1940.0,22.0,0.0,0.0
823c17fffffffff,573.0,1.0,161.0,2.0
823c1ffffffffff,2389.0,116.0,416.0,13.0
823c37fffffffff,988.0,102.0,114.0,0.0
823c47fffffffff,100.0,50.0,0.0,0.0
823c4ffffffffff,1.0,0.0,0.0,0.0
823c57fffffffff,834.0,2.0,0.0,57.0
823c5ffffffffff,1808.0,28.0,0.0,526.0
823c67fffffffff,5.0,0.0,0.0,0.0
823c6ffffffffff,83.0,30.0,0.0,0.0
823c77fffffffff,9.0,0.0,0.0,0.0
823c87fffffffff,369.0,0.0,0.0,0.0
823c8ffffffffff,1919.0,0.0,248.0,0.0
823c97fffffffff,1997.0,0.0,44.0,0.0
823c9ffffffffff,369.0,0.0,0.0,0.0
823ca7fffffffff,288.0,0.0,27.0,0.0
823caffffffffff,110.0,0.0,17.0,0.0
823cb7fffffffff,4519.0,0.0,370.0,0.0
823cc7fffffffff,1018.0,0.0,0.0,54.0
823ccffffffffff,39.0,0.0,0.0,0.0
823cd7fffffffff,104.0,0.0,0.0,2.0
823cdffffffffff,131.0,0.0,0.0,31.0
823ce7fffffffff,3171.0,3.0,0.0,157.0
823ceffffffffff,2093.0,0.0,0.0,701.0
823cf7fffffffff,5696.0,0.0,625.0,16.0
823d07fffffffff,15.0,4.0,0.0,0.0
823d17fffffffff,12270.0,2.0,134.0,0.0
823d1ffffffffff,1697.0,0.0,0.0,0.0
823d27fffffffff,6.0,0.0,0.0,0.0
823d37fffffffff,3152.0,369.0,60.0,0.0
823d87fffffffff,2199.0,0.0,247.0,0.0
823d8ffffffffff,1283.0,0.0,228.0,0.0
823d97fffffffff,1273.0,0.0,29.0,0.0
823d9ffffffffff,3728.0,0.0,258.0,0.0
823da7fffffffff,1715.0,0.0,175.0,0.0
823daffffffffff,4930.0,0.0,107.0,0.0
823db7fffffffff,1161.0,0.0,149.0,0.0
824007fffffffff,9.0,2.0,0.0,0.0
82400ffffffffff,16.0,15.0,0.0,0.0
824017fffffffff,10.0,10.0,0.0,0.0
82401ffffffffff,14.0,0.0,0.0,0.0
824027fffffffff,11.0,1.0,0.0,0.0
82402ffffffffff,39.0,2.0,0.0,0.0
824037fffffffff,3.0,0.0,0.0,0.0
824047fffffffff,15.0,12.0,0.0,0.0
82404ffffffffff,354.0,51.0,0.0,58.0
824057fffffffff,8.0,4.0,0.0,0.0
82405ffffffffff,114.0,45.0,0.0,0.0
82406ffffffffff,40.0,0.0,0.0,2.0
824077fffffffff,12.0,1.0,0.0,0.0
82408ffffffffff,52.0,37.0,0.0,0.0
8240affffffffff,14.0,5.0,0.0,0.0
8240b7fffffffff,7.0,4.0,0.0,0.0
8240c7fffffffff,430.0,257.0,0.0,0.0
8240cffffffffff,2.0,0.0,0.0,0.0
8240d7fffffffff,7.0,3.0,0.0,0.0
8240dffffffffff,18.0,9.0,0.0,0.0
8240e7fffffffff,87.0,38.0,0.0,0.0
