cell_id,Podargus ocellatus,Podargus ocellatus [ocellatus Group],Podargus ocellatus plumiferus
8272a7fffffffff,9.0,0.0,0.0
8272d7fffffffff,26.0,1.0,0.0
8272dffffffffff,10.0,2.0,0.0
8272f7fffffffff,95.0,1.0,0.0
82739ffffffffff,166.0,24.0,0.0
829c0ffffffffff,2.0,0.0,0.0
829c1ffffffffff,211.0,19.0,0.0
829c87fffffffff,6.0,0.0,0.0
829c8ffffffffff,2.0,0.0,0.0
829c9ffffffffff,14.0,0.0,0.0
829caffffffffff,13.0,4.0,0.0
829cb7fffffffff,13.0,0.0,0.0
829cc7fffffffff,1.0,1.0,0.0
829cd7fffffffff,69.0,7.0,0.0
829ce7fffffffff,1.0,0.0,0.0
829cf7fffffffff,22.0,0.0,0.0
829d27fffffffff,3.0,0.0,0.0
82be8ffffffffff,220.0,0.0,1.0
82beaffffffffff,178.0,0.0,9.0
82bef7fffffffff,1.0,0.0,0.0
