cell_id,Stilpnia cucullata,Stilpnia cucullata versicolor,Stilpnia cucullata cucullata
835e62fffffffff,1.0,0.0,0.0
835e66fffffffff,805.0,0.0,58.0
835e71fffffffff,212.0,99.0,0.0
