cell_id,Alectoris graeca,Alectoris graeca [graeca Group],Alectoris graeca whitakeri
841e167ffffffff,10.0,0.0,0.0
841e16dffffffff,2.0,0.0,0.0
841e803ffffffff,7.0,0.0,0.0
841e809ffffffff,1.0,0.0,0.0
841e80bffffffff,1.0,0.0,0.0
841e815ffffffff,1.0,0.0,0.0
841e855ffffffff,1.0,0.0,0.0
841e8dbffffffff,8.0,0.0,0.0
841e9b3ffffffff,1.0,0.0,0.0
841e9b7ffffffff,2.0,0.0,1.0
841ea81ffffffff,4.0,0.0,0.0
841ea83ffffffff,6.0,0.0,0.0
841ea85ffffffff,6.0,0.0,0.0
841ea87ffffffff,11.0,0.0,0.0
841ea8dffffffff,63.0,0.0,0.0
841ea97ffffffff,2.0,0.0,0.0
841eab1ffffffff,1.0,0.0,0.0
841eab3ffffffff,8.0,0.0,0.0
841eab9ffffffff,2.0,0.0,0.0
841eabbffffffff,2.0,0.0,0.0
841eabdffffffff,1.0,0.0,0.0
841eac1ffffffff,2.0,0.0,0.0
841eacdffffffff,6.0,0.0,0.0
841eaebffffffff,35.0,0.0,0.0
841ec03ffffffff,1.0,0.0,0.0
841ec05ffffffff,1.0,0.0,0.0
841ec15ffffffff,1.0,0.0,0.0
841ec21ffffffff,4.0,0.0,0.0
841ec23ffffffff,9.0,0.0,0.0
841ec2bffffffff,3.0,0.0,0.0
841ec33ffffffff,1.0,1.0,0.0
841ec35ffffffff,6.0,0.0,0.0
841ec39ffffffff,1.0,0.0,0.0
841ec3dffffffff,11.0,2.0,0.0
841ec43ffffffff,2.0,0.0,0.0
841ec4dffffffff,1.0,0.0,0.0
841ec57ffffffff,3.0,0.0,0.0
841ed03ffffffff,1.0,0.0,0.0
841ed05ffffffff,3.0,0.0,0.0
841ed07ffffffff,13.0,0.0,0.0
841ed19ffffffff,2.0,0.0,0.0
841ed1dffffffff,2.0,2.0,0.0
841ed37ffffffff,3.0,1.0,0.0
841ed39ffffffff,1.0,0.0,0.0
841ed3bffffffff,1.0,0.0,0.0
841ed3dffffffff,1.0,0.0,0.0
841ed51ffffffff,2.0,0.0,0.0
841ed53ffffffff,1.0,0.0,0.0
841ed55ffffffff,4.0,0.0,0.0
841ed57ffffffff,1.0,0.0,0.0
841ed5bffffffff,3.0,0.0,0.0
841ed63ffffffff,2.0,0.0,0.0
841eda3ffffffff,2.0,0.0,0.0
841edcdffffffff,2.0,0.0,0.0
841ede5ffffffff,1.0,0.0,0.0
841ede9ffffffff,4.0,0.0,0.0
841ef21ffffffff,1.0,0.0,0.0
841ef2dffffffff,3.0,0.0,0.0
841ef37ffffffff,1.0,0.0,0.0
841ef61ffffffff,1.0,0.0,0.0
841ef65ffffffff,1.0,0.0,0.0
841ef6dffffffff,2.0,0.0,0.0
841f8abffffffff,3.0,0.0,0.0
841f8bbffffffff,1.0,0.0,0.0
841f8bdffffffff,2.0,0.0,0.0
841f913ffffffff,10.0,0.0,0.0
841f989ffffffff,2.0,0.0,0.0
841f999ffffffff,1.0,0.0,0.0
841f9a1ffffffff,1.0,0.0,0.0
841f9a5ffffffff,1.0,0.0,0.0
841f9a7ffffffff,2.0,0.0,0.0
841f9adffffffff,2.0,0.0,0.0
841f9c7ffffffff,1.0,0.0,0.0
841f9e1ffffffff,14.0,0.0,0.0
841f9e3ffffffff,1.0,0.0,0.0
841f9e5ffffffff,4.0,0.0,0.0
841f9e7ffffffff,4.0,0.0,0.0
841f9ebffffffff,2.0,0.0,0.0
84396d3ffffffff,1.0,0.0,0.0
84396d9ffffffff,2.0,0.0,0.0
843f297ffffffff,1.0,0.0,0.0
843f2b3ffffffff,3.0,0.0,0.0
843f2bbffffffff,2.0,0.0,0.0
843f2c1ffffffff,5.0,0.0,0.0
843f2d1ffffffff,2.0,0.0,0.0
843f2d7ffffffff,10.0,0.0,0.0
843f2d9ffffffff,3.0,1.0,0.0
843f2dbffffffff,15.0,2.0,0.0
843f34dffffffff,1.0,0.0,0.0
843f35dffffffff,1.0,0.0,0.0
