cell_id,Acridotheres fuscus,Acridotheres fuscus mahrattensis,Acridotheres fuscus [fuscus Group]
822c97fffffffff,4.0,0.0,0.0
823c1ffffffffff,19.0,0.0,0.0
823c57fffffffff,20.0,0.0,0.0
823c5ffffffffff,5.0,0.0,0.0
823c87fffffffff,2.0,0.0,0.0
823c8ffffffffff,10.0,0.0,0.0
823c97fffffffff,3.0,0.0,0.0
823c9ffffffffff,2.0,0.0,0.0
823caffffffffff,3.0,0.0,0.0
823cc7fffffffff,14.0,0.0,0.0
823ce7fffffffff,10.0,0.0,0.0
823ceffffffffff,29.0,0.0,0.0
823cf7fffffffff,49.0,0.0,0.0
823d17fffffffff,17.0,0.0,0.0
823d9ffffffffff,2.0,0.0,0.0
823daffffffffff,4.0,0.0,0.0
82426ffffffffff,3.0,0.0,0.0
8243a7fffffffff,6.0,0.0,0.0
824ba7fffffffff,174.0,0.0,0.0
824bb7fffffffff,3.0,0.0,0.0
826007fffffffff,38.0,0.0,0.0
826017fffffffff,26.0,0.0,0.0
82601ffffffffff,1.0,0.0,0.0
826027fffffffff,123.0,0.0,0.0
826037fffffffff,754.0,0.0,0.0
82608ffffffffff,6.0,0.0,0.0
8260affffffffff,104.0,0.0,0.0
82611ffffffffff,2.0,0.0,0.0
82618ffffffffff,54.0,0.0,0.0
82619ffffffffff,8.0,0.0,0.0
826437fffffffff,6.0,0.0,0.0
82648ffffffffff,3.0,0.0,0.0
826507fffffffff,110.0,0.0,0.0
82650ffffffffff,12.0,0.0,0.0
82651ffffffffff,391.0,0.0,0.0
826527fffffffff,3.0,0.0,0.0
8272a7fffffffff,2.0,0.0,0.0
