cell_id,Chloris sinica,Chloris sinica [sinica Group],Chloris sinica kittlitzi
831481fffffffff,1.0,0.0,0.0
83148cfffffffff,6.0,0.0,0.0
831496fffffffff,2.0,0.0,0.0
83149afffffffff,20.0,0.0,0.0
83149efffffffff,15.0,0.0,0.0
8314a6fffffffff,1.0,0.0,0.0
8314a8fffffffff,2.0,0.0,0.0
8314aefffffffff,56.0,0.0,0.0
8314c8fffffffff,5.0,0.0,0.0
8314d6fffffffff,2.0,0.0,0.0
83158efffffffff,2.0,0.0,0.0
831598fffffffff,10.0,2.0,0.0
8315b3fffffffff,2.0,0.0,0.0
831610fffffffff,1.0,0.0,0.0
831616fffffffff,34.0,0.0,0.0
831634fffffffff,19.0,0.0,0.0
8316a0fffffffff,1.0,0.0,0.0
8316a5fffffffff,1.0,0.0,0.0
83171afffffffff,1.0,0.0,0.0
831742fffffffff,12.0,0.0,0.0
831750fffffffff,8.0,0.0,0.0
831756fffffffff,11.0,0.0,0.0
83178bfffffffff,3.0,0.0,0.0
83244cfffffffff,1.0,0.0,0.0
832452fffffffff,2.0,0.0,0.0
83245afffffffff,1.0,0.0,0.0
832460fffffffff,3.0,0.0,0.0
832462fffffffff,3.0,0.0,0.0
832466fffffffff,2.0,0.0,0.0
832483fffffffff,4.0,0.0,0.0
832488fffffffff,2.0,0.0,0.0
83248afffffffff,14.0,0.0,0.0
83248bfffffffff,114.0,0.0,0.0
83248cfffffffff,8.0,0.0,0.0
83248efffffffff,4.0,0.0,0.0
8324abfffffffff,4.0,0.0,0.0
8324aefffffffff,1.0,0.0,0.0
8324c0fffffffff,9.0,0.0,0.0
8324c6fffffffff,21.0,0.0,0.0
8324cdfffffffff,2.0,0.0,0.0
8324d1fffffffff,2.0,0.0,0.0
8324d2fffffffff,12.0,0.0,0.0
8324d5fffffffff,1.0,0.0,0.0
8324d6fffffffff,19.0,0.0,0.0
8324defffffffff,4.0,0.0,0.0
83255afffffffff,2.0,0.0,0.0
832e08fffffffff,2.0,0.0,0.0
832e0afffffffff,7.0,0.0,0.0
832e0cfffffffff,15.0,0.0,0.0
832e0dfffffffff,97.0,0.0,0.0
832e0efffffffff,3.0,0.0,0.0
832e12fffffffff,18.0,0.0,0.0
832e13fffffffff,21.0,1.0,0.0
832e18fffffffff,3.0,0.0,0.0
832e19fffffffff,10.0,0.0,0.0
832e1afffffffff,29.0,0.0,0.0
832e1bfffffffff,100.0,1.0,0.0
832e1efffffffff,8.0,0.0,0.0
832e29fffffffff,39.0,0.0,0.0
832e2bfffffffff,8.0,0.0,0.0
