cell_id,Buteo buteo,Buteo buteo buteo,Buteo buteo arrigonii,Buteo buteo rothschildi,Buteo buteo insularum,Buteo buteo bannermani,Buteo buteo vulpinus/menetriesi
820887fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
8208b7fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
821137fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821807fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
82182ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
821847fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82184ffffffffff,106.0,63.0,0.0,0.0,0.0,0.0,0.0
82185ffffffffff,151.0,48.0,0.0,0.0,0.0,0.0,0.0
821867fffffffff,4.0,2.0,0.0,0.0,0.0,0.0,0.0
82186ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
821877fffffffff,3.0,2.0,0.0,0.0,0.0,0.0,0.0
821947fffffffff,16.0,4.0,0.0,0.0,0.0,0.0,0.0
82194ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
821957fffffffff,20.0,2.0,0.0,0.0,0.0,0.0,0.0
82195ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82196ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821e07fffffffff,34.0,2.0,0.0,0.0,0.0,0.0,1.0
821e0ffffffffff,32.0,0.0,0.0,0.0,0.0,0.0,20.0
821e17fffffffff,8.0,2.0,0.0,0.0,0.0,0.0,0.0
821e1ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
821e27fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
821e37fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
821e47fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
821e5ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,1.0
821e6ffffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
821e77fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821e87fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
821ea7fffffffff,8.0,4.0,0.0,0.0,0.0,0.0,0.0
821ec7fffffffff,21.0,0.0,0.0,0.0,0.0,0.0,7.0
821ecffffffffff,29.0,0.0,0.0,0.0,0.0,0.0,3.0
821ed7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,2.0
821edffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,2.0
821ee7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,1.0
821eeffffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
821ef7fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
821f07fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
821f1ffffffffff,6.0,6.0,0.0,0.0,0.0,0.0,0.0
821f27fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
821f2ffffffffff,4.0,2.0,0.0,0.0,0.0,0.0,0.0
821f37fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
821f47fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
821f4ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821f57fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
