cell_id,Fulica alai,Fulica alai (Red-shielded),Fulica alai (White-shielded)
8446495ffffffff,3.0,0.0,1.0
84464b9ffffffff,5.0,2.0,3.0
84464e1ffffffff,3.0,0.0,3.0
845d115ffffffff,2.0,1.0,1.0
845d16bffffffff,17.0,0.0,7.0
