cell_id,Myiarchus tyrannulus,Myiarchus tyrannulus magister,Myiarchus tyrannulus [cooperi Group],Myiarchus tyrannulus brachyurus,Myiarchus tyrannulus tyrannulus/bahiae
832802fffffffff,6.0,0.0,0.0,0.0,0.0
832830fffffffff,2.0,0.0,0.0,0.0,0.0
832982fffffffff,3.0,0.0,0.0,0.0,0.0
832994fffffffff,4.0,0.0,0.0,0.0,0.0
832995fffffffff,39.0,0.0,0.0,0.0,0.0
8329a0fffffffff,188.0,0.0,0.0,0.0,0.0
8329a2fffffffff,3.0,0.0,0.0,0.0,0.0
8329a5fffffffff,65.0,0.0,0.0,0.0,0.0
8329a6fffffffff,165.0,0.0,0.0,0.0,0.0
8329aefffffffff,66.0,0.0,0.0,0.0,0.0
8329b0fffffffff,27.0,2.0,0.0,0.0,0.0
8329b1fffffffff,10.0,2.0,0.0,0.0,0.0
8329b2fffffffff,19.0,2.0,0.0,0.0,0.0
8329b5fffffffff,19.0,1.0,0.0,0.0,0.0
8329b6fffffffff,104.0,23.0,0.0,0.0,0.0
834412fffffffff,28.0,0.0,0.0,0.0,0.0
834413fffffffff,2.0,0.0,0.0,0.0,0.0
834446fffffffff,115.0,0.0,0.0,0.0,0.0
834455fffffffff,14.0,0.0,0.0,0.0,0.0
834463fffffffff,4.0,0.0,0.0,0.0,0.0
83446efffffffff,3.0,0.0,0.0,0.0,0.0
834473fffffffff,74.0,0.0,0.0,0.0,0.0
834484fffffffff,1.0,0.0,0.0,0.0,0.0
8344a1fffffffff,20.0,0.0,0.0,0.0,0.0
8344a5fffffffff,583.0,0.0,2.0,0.0,0.0
8344a8fffffffff,5.0,0.0,0.0,0.0,0.0
8344aefffffffff,2.0,0.0,0.0,0.0,0.0
8344e0fffffffff,5.0,0.0,0.0,0.0,0.0
8344f4fffffffff,16.0,0.0,0.0,0.0,0.0
834501fffffffff,2.0,0.0,0.0,0.0,0.0
834505fffffffff,15.0,0.0,1.0,0.0,0.0
83450afffffffff,7.0,0.0,5.0,0.0,0.0
83450dfffffffff,7.0,0.0,7.0,0.0,0.0
834520fffffffff,18.0,0.0,0.0,0.0,0.0
834521fffffffff,22.0,0.0,2.0,0.0,0.0
834525fffffffff,12.0,0.0,0.0,0.0,0.0
834526fffffffff,1.0,0.0,1.0,0.0,0.0
834528fffffffff,2.0,0.0,2.0,0.0,0.0
83452afffffffff,7.0,0.0,2.0,0.0,0.0
83452bfffffffff,1.0,0.0,1.0,0.0,0.0
83452efffffffff,23.0,0.0,8.0,0.0,0.0
834535fffffffff,2.0,0.0,0.0,0.0,0.0
834814fffffffff,3.0,0.0,0.0,0.0,0.0
83482afffffffff,2.0,0.0,0.0,0.0,0.0
834830fffffffff,1.0,0.0,0.0,0.0,0.0
834836fffffffff,20.0,20.0,0.0,0.0,0.0
83485afffffffff,1.0,0.0,0.0,0.0,0.0
83485bfffffffff,33.0,2.0,0.0,0.0,0.0
834880fffffffff,6.0,0.0,0.0,0.0,0.0
834882fffffffff,7.0,0.0,0.0,0.0,0.0
834883fffffffff,3.0,0.0,0.0,0.0,0.0
834886fffffffff,1.0,0.0,1.0,0.0,0.0
834888fffffffff,6.0,0.0,0.0,0.0,0.0
834889fffffffff,4.0,0.0,0.0,0.0,0.0
83488afffffffff,1.0,0.0,0.0,0.0,0.0
83488cfffffffff,3.0,0.0,0.0,0.0,0.0
83488efffffffff,11.0,0.0,0.0,0.0,0.0
834890fffffffff,6.0,0.0,0.0,0.0,0.0
834891fffffffff,10.0,0.0,1.0,0.0,0.0
834892fffffffff,5.0,0.0,0.0,0.0,0.0
834893fffffffff,25.0,0.0,0.0,0.0,0.0
834895fffffffff,19.0,0.0,0.0,0.0,0.0
834898fffffffff,15.0,0.0,0.0,0.0,0.0
834899fffffffff,3.0,0.0,0.0,0.0,0.0
83489cfffffffff,5.0,0.0,0.0,0.0,0.0
83489dfffffffff,13.0,0.0,0.0,0.0,0.0
83489efffffffff,14.0,0.0,0.0,0.0,0.0
8348abfffffffff,9.0,0.0,0.0,0.0,0.0
8348b1fffffffff,15.0,0.0,0.0,0.0,0.0
8348b2fffffffff,15.0,0.0,5.0,0.0,0.0
8348b3fffffffff,131.0,0.0,0.0,0.0,0.0
8348b5fffffffff,1.0,0.0,1.0,0.0,0.0
8348c0fffffffff,8.0,0.0,0.0,0.0,0.0
8348c1fffffffff,12.0,3.0,0.0,0.0,0.0
8348c5fffffffff,14.0,0.0,0.0,0.0,0.0
8348c6fffffffff,5.0,0.0,0.0,0.0,0.0
8348ccfffffffff,2.0,2.0,0.0,0.0,0.0
8348cdfffffffff,7.0,0.0,0.0,0.0,0.0
8348d4fffffffff,4.0,0.0,0.0,0.0,0.0
8348e3fffffffff,19.0,0.0,0.0,0.0,0.0
8348e8fffffffff,397.0,323.0,0.0,0.0,0.0
8348e9fffffffff,5.0,0.0,0.0,0.0,0.0
8348eafffffffff,8.0,2.0,0.0,0.0,0.0
8348ebfffffffff,53.0,27.0,0.0,0.0,0.0
8348ecfffffffff,500.0,398.0,0.0,0.0,0.0
8348edfffffffff,2.0,0.0,0.0,0.0,0.0
8348eefffffffff,142.0,70.0,0.0,0.0,0.0
8348f2fffffffff,4.0,0.0,0.0,0.0,0.0
8348f6fffffffff,7.0,0.0,0.0,0.0,0.0
834986fffffffff,7.0,6.0,0.0,0.0,0.0
834990fffffffff,1.0,0.0,1.0,0.0,0.0
834995fffffffff,2.0,0.0,0.0,0.0,0.0
834996fffffffff,10.0,0.0,2.0,0.0,0.0
83499cfffffffff,1.0,0.0,0.0,0.0,0.0
8349a2fffffffff,1.0,1.0,0.0,0.0,0.0
8349a8fffffffff,2.0,2.0,0.0,0.0,0.0
8349b0fffffffff,1.0,1.0,0.0,0.0,0.0
8349b3fffffffff,10.0,0.0,1.0,0.0,0.0
835f5bfffffffff,13.0,0.0,0.0,0.0,3.0
83660dfffffffff,2.0,0.0,0.0,0.0,0.0
836619fffffffff,4.0,0.0,0.0,0.0,2.0
83661cfffffffff,4.0,0.0,0.0,0.0,0.0
83661efffffffff,2.0,0.0,0.0,0.0,0.0
836621fffffffff,4.0,0.0,0.0,0.0,4.0
83662bfffffffff,2.0,0.0,0.0,0.0,0.0
836676fffffffff,2.0,0.0,0.0,0.0,0.0
