cell_id,Ardea herodias,Ardea herodias [herodias Group],Ardea herodias occidentalis,Ardea herodias wardi x occidentalis
8407457ffffffff,2.0,0.0,0.0,0.0
840c415ffffffff,85.0,0.0,0.0,0.0
840c515ffffffff,4.0,0.0,0.0,0.0
840c51dffffffff,1.0,0.0,0.0,0.0
840c555ffffffff,3.0,0.0,0.0,0.0
840c5a5ffffffff,8.0,3.0,0.0,0.0
840c5adffffffff,4.0,0.0,0.0,0.0
840c733ffffffff,20.0,0.0,0.0,0.0
840d587ffffffff,2.0,0.0,0.0,0.0
840e497ffffffff,1.0,0.0,0.0,0.0
840e49bffffffff,2.0,0.0,0.0,0.0
840e805ffffffff,8.0,0.0,0.0,0.0
840e9a1ffffffff,2.0,2.0,0.0,0.0
840eea7ffffffff,5.0,0.0,0.0,0.0
840eeabffffffff,12.0,0.0,0.0,0.0
840eebdffffffff,1.0,0.0,0.0,0.0
84124dbffffffff,2.0,2.0,0.0,0.0
8412597ffffffff,4.0,0.0,0.0,0.0
84125d9ffffffff,2.0,0.0,0.0,0.0
841289bffffffff,8.0,0.0,0.0,0.0
8412c11ffffffff,2.0,0.0,0.0,0.0
8412c21ffffffff,1.0,0.0,0.0,0.0
8412c33ffffffff,2.0,0.0,0.0,0.0
8412c39ffffffff,4.0,2.0,0.0,0.0
8412c3bffffffff,15.0,0.0,0.0,0.0
8412c89ffffffff,7.0,0.0,0.0,0.0
8412cb5ffffffff,1.0,1.0,0.0,0.0
8412cbbffffffff,3.0,0.0,0.0,0.0
8412cc1ffffffff,2.0,0.0,0.0,0.0
8412cc9ffffffff,3.0,0.0,0.0,0.0
8412ccdffffffff,17.0,2.0,0.0,0.0
8412d95ffffffff,4.0,4.0,0.0,0.0
8412da9ffffffff,2.0,0.0,0.0,0.0
8412db7ffffffff,2.0,2.0,0.0,0.0
8412db9ffffffff,2.0,0.0,0.0,0.0
8412dd3ffffffff,2.0,2.0,0.0,0.0
8412e8bffffffff,2.0,0.0,0.0,0.0
8413807ffffffff,1.0,0.0,0.0,0.0
8413829ffffffff,1.0,0.0,0.0,0.0
841382dffffffff,4.0,0.0,0.0,0.0
841383dffffffff,2.0,0.0,0.0,0.0
