cell_id,Epinecrophylla amazonica,Epinecrophylla amazonica amazonica,Epinecrophylla amazonica dentei
828a07fffffffff,41.0,20.0,0.0
828a17fffffffff,11.0,1.0,5.0
828a1ffffffffff,20.0,5.0,0.0
828a27fffffffff,4.0,0.0,0.0
828a2ffffffffff,7.0,3.0,0.0
828a37fffffffff,15.0,0.0,1.0
828a57fffffffff,7.0,0.0,0.0
828a77fffffffff,5.0,1.0,0.0
828aaffffffffff,5.0,0.0,0.0
828ae7fffffffff,4.0,0.0,0.0
828af7fffffffff,17.0,13.0,0.0
828b47fffffffff,246.0,6.0,0.0
828b4ffffffffff,16.0,0.0,0.0
828b57fffffffff,6.0,0.0,0.0
828b5ffffffffff,1.0,0.0,0.0
828b67fffffffff,19.0,0.0,0.0
828b6ffffffffff,5.0,0.0,0.0
828b77fffffffff,7.0,0.0,0.0
