cell_id,Sheppardia gunningi,Sheppardia gunningi sokokensis,Sheppardia gunningi alticola,Sheppardia gunningi bensoni,Sheppardia gunningi gunningi
847b491ffffffff,2.0,0.0,2.0,0.0,0.0
847b4c5ffffffff,4.0,0.0,0.0,0.0,0.0
847b4c7ffffffff,4.0,0.0,0.0,0.0,0.0
847b4cbffffffff,3.0,2.0,0.0,0.0,0.0
847b597ffffffff,4.0,4.0,0.0,0.0,0.0
8497103ffffffff,6.0,0.0,0.0,0.0,6.0
849711dffffffff,1.0,0.0,0.0,0.0,1.0
8497139ffffffff,6.0,0.0,0.0,0.0,6.0
8497265ffffffff,1.0,0.0,0.0,0.0,0.0
8497359ffffffff,1.0,0.0,0.0,0.0,0.0
