cell_id,Strix virgata,Strix virgata [virgata Group],Strix virgata superciliaris/macconnelli,Strix virgata borelliana
82450ffffffffff,4.0,4.0,0.0,0.0
82452ffffffffff,27.0,0.0,0.0,0.0
8248b7fffffffff,44.0,4.0,0.0,0.0
824987fffffffff,4.0,4.0,0.0,0.0
824997fffffffff,20.0,0.0,0.0,0.0
82499ffffffffff,2.0,0.0,0.0,0.0
825f2ffffffffff,13.0,0.0,0.0,0.0
825f5ffffffffff,50.0,0.0,0.0,0.0
82660ffffffffff,3.0,0.0,0.0,0.0
82661ffffffffff,2.0,0.0,0.0,0.0
8266b7fffffffff,3.0,1.0,0.0,0.0
8266e7fffffffff,18.0,0.0,0.0,0.0
8266effffffffff,3.0,0.0,0.0,0.0
826757fffffffff,11.0,0.0,0.0,0.0
82675ffffffffff,2.0,0.0,0.0,0.0
826d27fffffffff,3.0,0.0,0.0,0.0
826d2ffffffffff,7.0,4.0,0.0,0.0
826d37fffffffff,6.0,0.0,0.0,0.0
826d67fffffffff,1.0,0.0,0.0,0.0
828b9ffffffffff,2.0,0.0,2.0,0.0
828f0ffffffffff,8.0,0.0,0.0,0.0
828f57fffffffff,2.0,2.0,0.0,0.0
82a8d7fffffffff,23.0,0.0,0.0,0.0
82a947fffffffff,49.0,0.0,0.0,2.0
82a94ffffffffff,19.0,0.0,0.0,0.0
82a957fffffffff,25.0,0.0,0.0,2.0
82a95ffffffffff,1.0,0.0,0.0,0.0
