cell_id,Lacedo pulchella,Lacedo pulchella [pulchella Group],Lacedo pulchella melanops
836495fffffffff,10.0,10.0,0.0
836500fffffffff,47.0,0.0,0.0
836502fffffffff,25.0,0.0,0.0
836503fffffffff,35.0,0.0,0.0
836504fffffffff,2.0,0.0,0.0
836505fffffffff,11.0,0.0,0.0
836518fffffffff,58.0,0.0,0.0
836519fffffffff,6.0,0.0,0.0
83651cfffffffff,7.0,0.0,0.0
83651dfffffffff,33.0,0.0,0.0
836522fffffffff,1.0,0.0,0.0
836523fffffffff,1.0,0.0,0.0
836580fffffffff,1.0,0.0,0.0
836581fffffffff,1.0,1.0,0.0
836812fffffffff,6.0,0.0,6.0
838c13fffffffff,1.0,1.0,0.0
