cell_id,Lanius senator,Lanius senator senator,Lanius senator badius,Lanius senator niloticus
830886fffffffff,1.0,0.0,0.0,0.0
830896fffffffff,2.0,0.0,0.0,0.0
83099bfffffffff,7.0,0.0,0.0,0.0
8309a0fffffffff,6.0,4.0,0.0,0.0
8309a4fffffffff,14.0,0.0,0.0,0.0
831828fffffffff,3.0,1.0,0.0,0.0
831846fffffffff,2.0,0.0,0.0,0.0
831849fffffffff,11.0,0.0,0.0,0.0
83184bfffffffff,2.0,0.0,0.0,0.0
83185bfffffffff,4.0,0.0,0.0,0.0
831870fffffffff,3.0,0.0,0.0,0.0
831873fffffffff,2.0,0.0,0.0,0.0
831876fffffffff,10.0,0.0,0.0,0.0
83190dfffffffff,2.0,0.0,0.0,0.0
831940fffffffff,5.0,0.0,0.0,0.0
831941fffffffff,9.0,1.0,0.0,0.0
831946fffffffff,10.0,0.0,0.0,0.0
831948fffffffff,4.0,0.0,0.0,0.0
83194cfffffffff,4.0,1.0,0.0,0.0
83194dfffffffff,1.0,0.0,0.0,0.0
83194efffffffff,6.0,0.0,0.0,0.0
831959fffffffff,3.0,0.0,0.0,0.0
83195bfffffffff,1.0,0.0,0.0,0.0
83195cfffffffff,1.0,0.0,0.0,0.0
831968fffffffff,4.0,0.0,0.0,0.0
831972fffffffff,3.0,0.0,0.0,0.0
831973fffffffff,4.0,0.0,0.0,0.0
831e02fffffffff,6.0,0.0,0.0,0.0
831e0afffffffff,2.0,0.0,0.0,0.0
831e10fffffffff,2.0,0.0,0.0,0.0
831e12fffffffff,4.0,0.0,0.0,0.0
831e1dfffffffff,6.0,0.0,0.0,0.0
831e5dfffffffff,4.0,0.0,0.0,0.0
831e83fffffffff,9.0,0.0,4.0,0.0
831ea1fffffffff,4.0,0.0,0.0,0.0
831ea5fffffffff,1.0,0.0,0.0,0.0
831eabfffffffff,3.0,3.0,0.0,0.0
831ec4fffffffff,6.0,0.0,0.0,0.0
831ec5fffffffff,2.0,0.0,0.0,0.0
831ec6fffffffff,1.0,0.0,0.0,0.0
831ec9fffffffff,1.0,0.0,0.0,0.0
831ecafffffffff,4.0,0.0,0.0,0.0
831ecefffffffff,7.0,4.0,0.0,0.0
831edafffffffff,6.0,0.0,0.0,0.0
831eeafffffffff,6.0,0.0,0.0,0.0
831eebfffffffff,1.0,0.0,0.0,0.0
831ef1fffffffff,2.0,0.0,0.0,0.0
831f13fffffffff,1.0,0.0,0.0,0.0
831f35fffffffff,2.0,0.0,0.0,0.0
831f72fffffffff,10.0,0.0,0.0,0.0
831f8efffffffff,1.0,0.0,0.0,0.0
831f9cfffffffff,4.0,0.0,0.0,0.0
831f9dfffffffff,6.0,0.0,0.0,0.0
831fa2fffffffff,3.0,0.0,0.0,0.0
831fa4fffffffff,2.0,0.0,0.0,0.0
831fa5fffffffff,2.0,0.0,0.0,0.0
831fabfffffffff,3.0,1.0,0.0,0.0
832c0cfffffffff,22.0,0.0,0.0,22.0
832c2afffffffff,36.0,0.0,0.0,27.0
832c2efffffffff,2.0,0.0,0.0,2.0
832c55fffffffff,2.0,0.0,0.0,0.0
832c93fffffffff,8.0,0.0,0.0,2.0
832cf3fffffffff,3.0,0.0,0.0,3.0
832d84fffffffff,4.0,0.0,0.0,0.0
832da6fffffffff,4.0,0.0,0.0,2.0
832da8fffffffff,6.0,0.0,0.0,5.0
832dacfffffffff,2.0,0.0,0.0,2.0
832db0fffffffff,1.0,0.0,0.0,0.0
832db1fffffffff,11.0,0.0,0.0,1.0
832db2fffffffff,9.0,0.0,0.0,2.0
832db3fffffffff,2.0,0.0,0.0,0.0
832db6fffffffff,2.0,0.0,0.0,0.0
833469fffffffff,4.0,0.0,0.0,0.0
83346bfffffffff,14.0,0.0,0.0,0.0
833825fffffffff,1.0,0.0,0.0,0.0
833862fffffffff,26.0,0.0,0.0,0.0
83386efffffffff,2.0,2.0,0.0,0.0
833871fffffffff,2.0,0.0,0.0,0.0
833875fffffffff,10.0,2.0,0.0,0.0
833900fffffffff,60.0,18.0,0.0,0.0
833901fffffffff,28.0,11.0,0.0,0.0
833902fffffffff,19.0,4.0,0.0,0.0
833903fffffffff,16.0,3.0,0.0,0.0
833904fffffffff,2.0,0.0,0.0,0.0
833905fffffffff,18.0,2.0,0.0,0.0
833906fffffffff,17.0,0.0,0.0,0.0
83390efffffffff,2.0,0.0,0.0,0.0
833910fffffffff,47.0,0.0,0.0,0.0
833911fffffffff,8.0,1.0,0.0,0.0
833915fffffffff,6.0,0.0,0.0,0.0
833918fffffffff,2.0,2.0,0.0,0.0
83391afffffffff,2.0,0.0,0.0,0.0
83391efffffffff,4.0,1.0,0.0,0.0
833920fffffffff,3.0,0.0,0.0,0.0
833921fffffffff,1.0,0.0,0.0,0.0
833922fffffffff,7.0,0.0,0.0,0.0
833923fffffffff,20.0,0.0,0.0,0.0
833925fffffffff,10.0,0.0,0.0,0.0
833928fffffffff,10.0,0.0,0.0,0.0
833929fffffffff,8.0,0.0,0.0,0.0
83392afffffffff,12.0,3.0,0.0,0.0
83392bfffffffff,2.0,0.0,0.0,0.0
833931fffffffff,8.0,0.0,0.0,0.0
833933fffffffff,17.0,0.0,0.0,0.0
833943fffffffff,10.0,4.0,4.0,0.0
833944fffffffff,12.0,2.0,9.0,0.0
833945fffffffff,2.0,2.0,0.0,0.0
833946fffffffff,5.0,0.0,1.0,0.0
833951fffffffff,8.0,0.0,0.0,0.0
833954fffffffff,11.0,0.0,11.0,0.0
833956fffffffff,5.0,1.0,4.0,0.0
83395cfffffffff,60.0,7.0,45.0,0.0
833962fffffffff,4.0,4.0,0.0,0.0
833968fffffffff,2.0,0.0,2.0,0.0
833970fffffffff,3.0,0.0,0.0,0.0
833971fffffffff,10.0,10.0,0.0,0.0
833972fffffffff,26.0,1.0,0.0,0.0
833973fffffffff,47.0,1.0,6.0,0.0
833974fffffffff,18.0,0.0,0.0,0.0
833976fffffffff,6.0,2.0,0.0,0.0
833983fffffffff,1.0,0.0,0.0,0.0
833e45fffffffff,3.0,0.0,0.0,0.0
833e6cfffffffff,4.0,0.0,0.0,2.0
833f2dfffffffff,1.0,1.0,0.0,0.0
833f44fffffffff,3.0,0.0,0.0,0.0
834331fffffffff,2.0,0.0,0.0,0.0
834335fffffffff,1.0,0.0,0.0,0.0
8343a1fffffffff,4.0,0.0,0.0,4.0
8343acfffffffff,12.0,0.0,0.0,0.0
8343aefffffffff,39.0,0.0,0.0,0.0
83521cfffffffff,4.0,0.0,0.0,0.0
83534dfffffffff,2.0,0.0,0.0,0.0
835364fffffffff,1.0,0.0,0.0,0.0
8353a4fffffffff,3.0,0.0,0.0,2.0
835411fffffffff,6.0,0.0,0.0,0.0
8354f1fffffffff,2.0,0.0,0.0,0.0
8354f5fffffffff,3.0,0.0,0.0,0.0
835929fffffffff,5.0,0.0,0.0,0.0
835974fffffffff,2.0,0.0,0.0,0.0
836aeafffffffff,1.0,0.0,0.0,0.0
837a68fffffffff,2.0,0.0,0.0,0.0
