cell_id,Galbula albirostris,Galbula albirostris albirostris,Galbula albirostris chalcocephala
835f03fffffffff,50.0,0.0,0.0
835f06fffffffff,1.0,0.0,0.0
835f09fffffffff,1.0,0.0,0.0
835f10fffffffff,4.0,0.0,0.0
835f11fffffffff,1.0,0.0,0.0
835f12fffffffff,1.0,0.0,0.0
835f13fffffffff,2.0,0.0,0.0
835f14fffffffff,6.0,0.0,0.0
835f16fffffffff,11.0,0.0,0.0
835f29fffffffff,3.0,0.0,0.0
835f2bfffffffff,88.0,0.0,0.0
835f40fffffffff,2.0,0.0,0.0
835f42fffffffff,2.0,0.0,0.0
835f54fffffffff,16.0,0.0,0.0
835f68fffffffff,6.0,0.0,0.0
835f71fffffffff,10.0,0.0,0.0
835f75fffffffff,2.0,0.0,0.0
835f76fffffffff,1.0,0.0,0.0
836641fffffffff,3.0,0.0,0.0
83664efffffffff,2.0,0.0,0.0
83665afffffffff,151.0,1.0,0.0
83665bfffffffff,91.0,0.0,1.0
83666efffffffff,1.0,0.0,0.0
8366c2fffffffff,13.0,0.0,0.0
8366c5fffffffff,13.0,0.0,0.0
8366cefffffffff,3.0,0.0,0.0
8366d8fffffffff,61.0,0.0,5.0
8366dbfffffffff,3.0,0.0,0.0
8366dcfffffffff,88.0,0.0,3.0
8366ddfffffffff,24.0,0.0,2.0
8366defffffffff,35.0,0.0,2.0
8366e3fffffffff,2.0,0.0,0.0
8366e9fffffffff,5.0,0.0,0.0
8366eafffffffff,8.0,0.0,0.0
8366ecfffffffff,2.0,0.0,0.0
8366eefffffffff,21.0,0.0,0.0
838068fffffffff,1.0,0.0,0.0
83806bfffffffff,2.0,0.0,0.0
838a45fffffffff,45.0,0.0,0.0
838a4bfffffffff,2.0,0.0,0.0
838a63fffffffff,6.0,0.0,0.0
838a68fffffffff,4.0,0.0,0.0
838a69fffffffff,55.0,0.0,0.0
838a6bfffffffff,1.0,0.0,0.0
838a6dfffffffff,19.0,0.0,0.0
838a80fffffffff,1.0,0.0,0.0
838a8afffffffff,1.0,0.0,0.0
838a8cfffffffff,1.0,1.0,0.0
838a8dfffffffff,3.0,1.0,0.0
838adcfffffffff,5.0,0.0,0.0
838af0fffffffff,22.0,0.0,0.0
838af2fffffffff,112.0,8.0,0.0
838af4fffffffff,16.0,2.0,0.0
838af6fffffffff,414.0,17.0,0.0
838b5cfffffffff,1.0,0.0,0.0
838f40fffffffff,30.0,0.0,0.0
838f41fffffffff,1.0,0.0,0.0
838f44fffffffff,3.0,0.0,0.0
838f48fffffffff,1.0,0.0,0.0
838f60fffffffff,1.0,0.0,0.0
838f61fffffffff,47.0,0.0,0.0
838f65fffffffff,2.0,0.0,0.0
838f6cfffffffff,1.0,0.0,0.0
838f71fffffffff,16.0,0.0,0.0
838f74fffffffff,7.0,0.0,0.0
