cell_id,Psilopogon asiaticus,Psilopogon asiaticus asiaticus,Psilopogon asiaticus davisoni
84209a5ffffffff,14.0,0.0,0.0
843c0a5ffffffff,18.0,2.0,0.0
843c195ffffffff,2.0,0.0,0.0
843c199ffffffff,11.0,0.0,0.0
843c19bffffffff,4.0,0.0,0.0
843c1b5ffffffff,6.0,0.0,0.0
843c1b9ffffffff,4.0,0.0,0.0
843c1c3ffffffff,26.0,1.0,0.0
843c1d3ffffffff,4.0,0.0,0.0
843c1e9ffffffff,2.0,0.0,0.0
843c5a9ffffffff,3.0,0.0,3.0
843c8c3ffffffff,2.0,1.0,0.0
843c8c7ffffffff,4.0,0.0,0.0
843c8cbffffffff,4.0,0.0,0.0
843ce15ffffffff,2.0,2.0,0.0
843ce3bffffffff,1.0,0.0,0.0
843ce45ffffffff,6.0,0.0,0.0
843ce4dffffffff,4.0,0.0,0.0
843ce57ffffffff,2.0,2.0,0.0
843cec1ffffffff,1.0,1.0,0.0
843cf05ffffffff,11.0,0.0,0.0
843cf0dffffffff,3.0,0.0,0.0
843cf29ffffffff,4.0,0.0,0.0
843cf2dffffffff,18.0,2.0,0.0
843cf47ffffffff,2.0,0.0,0.0
843cf69ffffffff,5.0,0.0,0.0
843cf6dffffffff,2.0,0.0,0.0
843d141ffffffff,1.0,0.0,0.0
843d1edffffffff,2.0,2.0,0.0
843dad1ffffffff,2.0,2.0,0.0
843daddffffffff,1.0,1.0,0.0
84402a3ffffffff,2.0,0.0,0.0
84404c5ffffffff,11.0,11.0,0.0
84404ddffffffff,1.0,1.0,0.0
844118bffffffff,1.0,0.0,0.0
84414d9ffffffff,1.0,0.0,0.0
