cell_id,Hemicircus concretus,Hemicircus concretus sordidus,Hemicircus concretus concretus
846430bffffffff,1.0,0.0,0.0
8464319ffffffff,15.0,4.0,0.0
8464331ffffffff,1.0,0.0,0.0
8464343ffffffff,17.0,8.0,0.0
8464359ffffffff,19.0,8.0,0.0
8465005ffffffff,34.0,0.0,0.0
8465009ffffffff,6.0,0.0,0.0
846500bffffffff,8.0,0.0,0.0
846501dffffffff,3.0,0.0,0.0
8465029ffffffff,1.0,0.0,0.0
846502bffffffff,9.0,1.0,0.0
8465031ffffffff,2.0,0.0,0.0
8465033ffffffff,8.0,0.0,0.0
8465037ffffffff,1.0,0.0,0.0
8465051ffffffff,4.0,0.0,0.0
8465055ffffffff,65.0,0.0,0.0
8465057ffffffff,7.0,0.0,0.0
846505dffffffff,16.0,0.0,0.0
846506bffffffff,1.0,0.0,0.0
8465183ffffffff,18.0,0.0,0.0
8465189ffffffff,35.0,1.0,0.0
846518bffffffff,9.0,0.0,0.0
84651b3ffffffff,7.0,0.0,0.0
84651c1ffffffff,11.0,0.0,0.0
84651c3ffffffff,2.0,0.0,0.0
84651c9ffffffff,4.0,0.0,0.0
84651cbffffffff,5.0,0.0,0.0
84651cdffffffff,37.0,6.0,0.0
84651d9ffffffff,1.0,0.0,0.0
8465205ffffffff,2.0,0.0,0.0
8465221ffffffff,7.0,0.0,0.0
8465223ffffffff,3.0,0.0,0.0
8465225ffffffff,15.0,0.0,0.0
8465227ffffffff,17.0,0.0,0.0
8465229ffffffff,101.0,0.0,0.0
846522dffffffff,1.0,0.0,0.0
8465257ffffffff,1.0,0.0,0.0
8465263ffffffff,1.0,0.0,0.0
8465545ffffffff,1.0,0.0,0.0
8468101ffffffff,11.0,2.0,0.0
8468115ffffffff,2.0,0.0,0.0
8468119ffffffff,3.0,0.0,0.0
846811bffffffff,10.0,0.0,0.0
8468123ffffffff,1.0,0.0,0.0
8468125ffffffff,3.0,0.0,0.0
8468129ffffffff,3.0,0.0,0.0
8468157ffffffff,1.0,0.0,0.0
8468185ffffffff,1.0,0.0,0.0
8468189ffffffff,75.0,11.0,0.0
846818bffffffff,7.0,6.0,0.0
846818dffffffff,144.0,29.0,0.0
846819dffffffff,17.0,2.0,0.0
84681a9ffffffff,1.0,0.0,0.0
84681c3ffffffff,184.0,38.0,0.0
84681c5ffffffff,6.0,0.0,0.0
84681c7ffffffff,2.0,0.0,0.0
84681d5ffffffff,34.0,2.0,0.0
84681edffffffff,2.0,0.0,0.0
8468889ffffffff,1.0,0.0,0.0
8468965ffffffff,7.0,0.0,0.0
8468a5bffffffff,1.0,0.0,0.0
8468aa3ffffffff,2.0,0.0,0.0
8468ab5ffffffff,2.0,0.0,0.0
8468ab7ffffffff,2.0,0.0,0.0
848c103ffffffff,6.0,0.0,1.0
848c1a7ffffffff,5.0,3.0,0.0
848c881ffffffff,1.0,0.0,0.0
848c895ffffffff,1.0,0.0,0.0
848c967ffffffff,2.0,0.0,0.0
848cad5ffffffff,14.0,1.0,0.0
848caddffffffff,8.0,0.0,0.0
848cb2bffffffff,3.0,0.0,0.0
848cd23ffffffff,2.0,0.0,0.0
848cd55ffffffff,1.0,0.0,0.0
848da25ffffffff,15.0,0.0,1.0
848da33ffffffff,1.0,0.0,0.0
848da67ffffffff,7.0,0.0,1.0
