cell_id,Pardipicus caroli,Pardipicus caroli arizelus,Pardipicus caroli caroli
835883fffffffff,1.0,0.0,0.0
836a9afffffffff,4.0,0.0,0.0
836a9efffffffff,2.0,0.0,0.0
836ac0fffffffff,103.0,0.0,16.0
836ac1fffffffff,157.0,0.0,15.0
836ac3fffffffff,6.0,0.0,0.0
836accfffffffff,24.0,0.0,0.0
836acdfffffffff,37.0,0.0,2.0
836adcfffffffff,22.0,0.0,1.0
836aeafffffffff,123.0,0.0,4.0
837508fffffffff,65.0,3.0,0.0
83750dfffffffff,8.0,0.0,0.0
837529fffffffff,9.0,2.0,0.0
8375a8fffffffff,4.0,0.0,0.0
8375aafffffffff,1.0,0.0,0.0
8375b0fffffffff,5.0,0.0,0.0
837a4cfffffffff,111.0,0.0,0.0
837a4dfffffffff,23.0,0.0,0.0
838212fffffffff,4.0,0.0,0.0
83821bfffffffff,3.0,0.0,0.0
83828afffffffff,1.0,0.0,0.0
83828dfffffffff,67.0,0.0,0.0
838290fffffffff,4.0,0.0,0.0
8382a3fffffffff,9.0,0.0,0.0
8382a8fffffffff,15.0,0.0,0.0
8382aafffffffff,3.0,0.0,0.0
8382abfffffffff,2.0,0.0,0.0
8382b1fffffffff,1.0,0.0,0.0
8382f6fffffffff,1.0,0.0,0.0
838313fffffffff,4.0,0.0,0.0
838315fffffffff,6.0,0.0,0.0
83831efffffffff,4.0,0.0,0.0
838398fffffffff,2.0,0.0,0.0
8383a8fffffffff,4.0,0.0,0.0
8383acfffffffff,1.0,0.0,0.0
839609fffffffff,1.0,0.0,0.0
83960bfffffffff,4.0,0.0,0.0
839656fffffffff,2.0,0.0,1.0
