cell_id,Pernis ptilorhynchus,Pernis ptilorhynchus orientalis,Pernis ptilorhynchus ruficollis/philippensis,Pernis ptilorhynchus [ptilorhynchus Group]
82200ffffffffff,3.0,0.0,0.0,0.0
8220e7fffffffff,1.0,0.0,0.0,0.0
822407fffffffff,1.0,0.0,0.0,0.0
82240ffffffffff,1.0,0.0,0.0,0.0
82241ffffffffff,1.0,0.0,0.0,0.0
8224d7fffffffff,2.0,0.0,0.0,0.0
822517fffffffff,3.0,3.0,0.0,0.0
822c07fffffffff,4.0,4.0,0.0,0.0
822c27fffffffff,54.0,0.0,0.0,0.0
822c97fffffffff,16.0,0.0,0.0,0.0
822cc7fffffffff,14.0,0.0,0.0,0.0
822cd7fffffffff,3.0,0.0,0.0,0.0
822da7fffffffff,1.0,0.0,0.0,0.0
822db7fffffffff,14.0,0.0,0.0,0.0
822e6ffffffffff,2.0,0.0,0.0,0.0
823007fffffffff,7.0,0.0,0.0,0.0
823017fffffffff,2.0,0.0,0.0,0.0
82309ffffffffff,2.0,0.0,0.0,0.0
8230c7fffffffff,23.0,0.0,0.0,0.0
8230d7fffffffff,3.0,0.0,0.0,0.0
8230e7fffffffff,1.0,0.0,0.0,0.0
823187fffffffff,6.0,0.0,0.0,0.0
8231affffffffff,5.0,0.0,0.0,0.0
823c17fffffffff,6.0,0.0,0.0,0.0
823c1ffffffffff,22.0,0.0,3.0,0.0
823c5ffffffffff,5.0,0.0,0.0,0.0
823c87fffffffff,1.0,0.0,0.0,0.0
823c8ffffffffff,2.0,0.0,0.0,0.0
823c97fffffffff,10.0,0.0,0.0,0.0
823ca7fffffffff,2.0,0.0,0.0,0.0
823caffffffffff,20.0,0.0,0.0,0.0
823cb7fffffffff,4.0,0.0,0.0,0.0
823cc7fffffffff,3.0,0.0,0.0,0.0
823ce7fffffffff,5.0,0.0,2.0,0.0
823ceffffffffff,5.0,0.0,2.0,0.0
823cf7fffffffff,19.0,0.0,2.0,0.0
823d07fffffffff,11.0,0.0,0.0,0.0
823d17fffffffff,5.0,0.0,0.0,0.0
823d37fffffffff,5.0,0.0,0.0,0.0
823d8ffffffffff,1.0,0.0,0.0,0.0
823da7fffffffff,1.0,0.0,1.0,0.0
823daffffffffff,2.0,0.0,0.0,0.0
823e47fffffffff,13.0,2.0,0.0,0.0
823e67fffffffff,2.0,0.0,0.0,0.0
823e6ffffffffff,99.0,0.0,0.0,0.0
82401ffffffffff,4.0,0.0,0.0,0.0
824097fffffffff,8.0,0.0,0.0,0.0
8240c7fffffffff,3.0,3.0,0.0,0.0
8240d7fffffffff,2.0,0.0,0.0,0.0
8240e7fffffffff,6.0,0.0,0.0,0.0
82411ffffffffff,15.0,0.0,0.0,0.0
824157fffffffff,2.0,0.0,0.0,0.0
824177fffffffff,1.0,0.0,0.0,0.0
8241a7fffffffff,11.0,0.0,0.0,0.0
8241b7fffffffff,12.0,0.0,0.0,0.0
82425ffffffffff,3.0,0.0,0.0,0.0
8242c7fffffffff,3.0,0.0,0.0,0.0
8242dffffffffff,8.0,0.0,0.0,0.0
82431ffffffffff,1.0,0.0,0.0,0.0
824387fffffffff,2.0,1.0,0.0,0.0
82438ffffffffff,3.0,3.0,0.0,0.0
8243a7fffffffff,35.0,3.0,0.0,0.0
8243affffffffff,61.0,3.0,0.0,0.0
824b87fffffffff,27.0,4.0,0.0,0.0
824ba7fffffffff,31.0,0.0,0.0,0.0
824baffffffffff,2.0,1.0,0.0,0.0
824bb7fffffffff,5.0,0.0,0.0,0.0
82521ffffffffff,3.0,0.0,0.0,0.0
82524ffffffffff,15.0,13.0,0.0,0.0
82534ffffffffff,3.0,2.0,0.0,0.0
825357fffffffff,1.0,0.0,0.0,0.0
82536ffffffffff,32.0,0.0,0.0,0.0
826007fffffffff,51.0,0.0,0.0,0.0
826017fffffffff,63.0,0.0,4.0,0.0
826027fffffffff,36.0,0.0,0.0,0.0
826037fffffffff,69.0,0.0,11.0,0.0
82608ffffffffff,5.0,0.0,3.0,0.0
8260affffffffff,38.0,0.0,0.0,0.0
8260b7fffffffff,2.0,0.0,0.0,0.0
82611ffffffffff,2.0,0.0,2.0,0.0
82618ffffffffff,16.0,0.0,2.0,0.0
826337fffffffff,7.0,3.0,0.0,0.0
82640ffffffffff,7.0,0.0,0.0,0.0
826417fffffffff,2.0,0.0,0.0,2.0
82642ffffffffff,2.0,0.0,0.0,0.0
826437fffffffff,9.0,9.0,0.0,0.0
82648ffffffffff,5.0,0.0,4.0,0.0
826497fffffffff,3.0,0.0,0.0,0.0
8264a7fffffffff,1.0,1.0,0.0,0.0
8264e7fffffffff,15.0,0.0,0.0,0.0
826507fffffffff,150.0,7.0,0.0,0.0
82651ffffffffff,176.0,0.0,0.0,0.0
826527fffffffff,280.0,8.0,0.0,3.0
826597fffffffff,2.0,0.0,0.0,0.0
82659ffffffffff,1.0,0.0,1.0,0.0
8265b7fffffffff,2.0,1.0,0.0,0.0
826807fffffffff,21.0,0.0,0.0,0.0
826817fffffffff,26.0,0.0,0.0,0.0
82681ffffffffff,59.0,0.0,0.0,0.0
82682ffffffffff,1.0,0.0,0.0,1.0
82694ffffffffff,8.0,0.0,0.0,0.0
827397fffffffff,2.0,0.0,0.0,0.0
828c17fffffffff,4.0,0.0,0.0,0.0
828c27fffffffff,6.0,0.0,0.0,0.0
829457fffffffff,2.0,0.0,0.0,0.0
82956ffffffffff,2.0,0.0,0.0,0.0
829697fffffffff,5.0,0.0,0.0,0.0
82a727fffffffff,129.0,0.0,0.0,0.0
82c997fffffffff,10.0,0.0,0.0,0.0
