cell_id,Phaethornis mexicanus,Phaethornis mexicanus griseoventer,Phaethornis mexicanus mexicanus
8448361ffffffff,256.0,58.0,0.0
8448363ffffffff,6.0,1.0,0.0
8448367ffffffff,2.0,0.0,0.0
8448369ffffffff,17.0,0.0,0.0
844836dffffffff,9.0,3.0,0.0
8449a81ffffffff,6.0,0.0,0.0
8449a85ffffffff,32.0,0.0,0.0
8449a8dffffffff,1.0,0.0,0.0
8449a91ffffffff,67.0,12.0,0.0
8449a93ffffffff,203.0,39.0,0.0
8449a95ffffffff,1.0,0.0,0.0
8449a97ffffffff,7.0,0.0,0.0
8449b03ffffffff,1.0,0.0,0.0
8449b0bffffffff,1.0,0.0,1.0
8449b19ffffffff,26.0,0.0,14.0
8449b53ffffffff,16.0,0.0,2.0
8449b57ffffffff,35.0,0.0,2.0
8449b67ffffffff,1.0,0.0,0.0
846d141ffffffff,2.0,0.0,0.0
846d14bffffffff,2.0,0.0,0.0
846d14dffffffff,1.0,0.0,0.0
846d333ffffffff,4.0,0.0,0.0
846d337ffffffff,198.0,0.0,55.0
