cell_id,Atlapetes leucopterus,Atlapetes leucopterus leucopterus/dresseri,Atlapetes leucopterus paynteri
8466d15ffffffff,1.0,0.0,0.0
8466d31ffffffff,2231.0,316.0,0.0
8466d33ffffffff,291.0,15.0,0.0
8466d35ffffffff,1.0,0.0,0.0
8466d37ffffffff,16.0,0.0,0.0
8466d39ffffffff,79.0,0.0,0.0
8466d3bffffffff,3.0,0.0,0.0
848f08bffffffff,13.0,8.0,0.0
848f093ffffffff,1.0,0.0,0.0
848f099ffffffff,25.0,6.0,0.0
848f0d1ffffffff,7.0,5.0,0.0
848f0d3ffffffff,194.0,32.0,0.0
848f0dbffffffff,4.0,0.0,0.0
848f291ffffffff,41.0,2.0,0.0
848f295ffffffff,2.0,0.0,0.0
848f297ffffffff,13.0,0.0,0.0
848f29dffffffff,1.0,0.0,0.0
848f2bbffffffff,76.0,6.0,0.0
848f2d5ffffffff,9.0,0.0,0.0
848f2d9ffffffff,4.0,0.0,0.0
848f2ddffffffff,8.0,0.0,0.0
848f501ffffffff,13.0,0.0,0.0
848f503ffffffff,2.0,0.0,0.0
848f509ffffffff,46.0,2.0,0.0
848f50bffffffff,21.0,1.0,0.0
848f50dffffffff,67.0,0.0,0.0
848f541ffffffff,1.0,0.0,0.0
848f545ffffffff,44.0,2.0,0.0
848f547ffffffff,175.0,36.0,0.0
848f549ffffffff,16.0,0.0,0.0
848f54dffffffff,39.0,0.0,0.0
848f721ffffffff,4.0,0.0,1.0
848f725ffffffff,2.0,0.0,0.0
848f72dffffffff,4.0,0.0,0.0
848f767ffffffff,3.0,0.0,0.0
848f769ffffffff,2.0,0.0,0.0
848f76dffffffff,20.0,0.0,0.0
