cell_id,Eremomela icteropygialis,Eremomela icteropygialis [icteropygialis Group],Eremomela icteropygialis salvadorii
835280fffffffff,1.0,0.0,0.0
83528efffffffff,2.0,0.0,0.0
835298fffffffff,2.0,0.0,0.0
83529bfffffffff,1.0,0.0,0.0
8352d3fffffffff,2.0,0.0,0.0
835402fffffffff,14.0,0.0,0.0
835410fffffffff,6.0,0.0,0.0
835411fffffffff,95.0,0.0,0.0
835413fffffffff,36.0,0.0,0.0
835414fffffffff,2.0,0.0,0.0
835415fffffffff,7.0,0.0,0.0
83541afffffffff,2.0,0.0,0.0
83541efffffffff,29.0,0.0,0.0
835440fffffffff,1.0,0.0,0.0
8354adfffffffff,8.0,0.0,0.0
8354e5fffffffff,1.0,0.0,0.0
835851fffffffff,3.0,0.0,0.0
83585afffffffff,1.0,0.0,0.0
83585efffffffff,1.0,0.0,0.0
836a49fffffffff,1.0,0.0,0.0
836a58fffffffff,4.0,0.0,0.0
836a5afffffffff,15.0,0.0,0.0
836acafffffffff,1.0,0.0,0.0
836ae8fffffffff,5.0,0.0,0.0
836aeafffffffff,2.0,0.0,0.0
837a40fffffffff,76.0,0.0,0.0
837a41fffffffff,62.0,0.0,0.0
837a45fffffffff,5.0,0.0,0.0
837a48fffffffff,6.0,0.0,0.0
837a4bfffffffff,14.0,0.0,0.0
837a4cfffffffff,29.0,0.0,0.0
837a4efffffffff,1.0,0.0,0.0
837a59fffffffff,14.0,0.0,0.0
837a5afffffffff,3.0,0.0,0.0
837a61fffffffff,59.0,0.0,0.0
837a63fffffffff,2.0,0.0,0.0
837a65fffffffff,24.0,0.0,0.0
837a68fffffffff,42.0,0.0,0.0
837a6afffffffff,11.0,0.0,0.0
837a6dfffffffff,36.0,0.0,0.0
837a6efffffffff,137.0,0.0,0.0
837ac1fffffffff,2.0,0.0,0.0
837ac8fffffffff,68.0,0.0,0.0
837acafffffffff,7.0,0.0,0.0
837accfffffffff,1.0,0.0,0.0
837acdfffffffff,2.0,0.0,0.0
837ad9fffffffff,144.0,0.0,0.0
837adafffffffff,2.0,0.0,0.0
837adbfffffffff,2.0,0.0,0.0
837ae8fffffffff,46.0,0.0,0.0
837ae9fffffffff,61.0,0.0,0.0
837aeafffffffff,5.0,0.0,0.0
837aedfffffffff,30.0,0.0,0.0
837b49fffffffff,1.0,0.0,0.0
837b4bfffffffff,3.0,0.0,0.0
837b4dfffffffff,1.0,0.0,0.0
8382a0fffffffff,9.0,0.0,9.0
8382a5fffffffff,2.0,0.0,2.0
838304fffffffff,11.0,0.0,0.0
838320fffffffff,4.0,0.0,0.0
838326fffffffff,10.0,0.0,5.0
838333fffffffff,7.0,0.0,7.0
83838afffffffff,1.0,0.0,1.0
839600fffffffff,13.0,0.0,0.0
839604fffffffff,4.0,0.0,0.0
839609fffffffff,3.0,0.0,0.0
83960bfffffffff,12.0,0.0,0.0
83960efffffffff,5.0,0.0,0.0
839615fffffffff,1.0,0.0,0.0
839623fffffffff,14.0,0.0,0.0
839628fffffffff,3.0,0.0,0.0
83962cfffffffff,18.0,0.0,0.0
83962efffffffff,2.0,0.0,0.0
839636fffffffff,6.0,0.0,0.0
839662fffffffff,1.0,0.0,0.0
839666fffffffff,1.0,0.0,0.0
839686fffffffff,5.0,0.0,0.0
839690fffffffff,16.0,0.0,0.0
839692fffffffff,201.0,0.0,0.0
839693fffffffff,24.0,0.0,0.0
83969afffffffff,5.0,0.0,0.0
8396a2fffffffff,5.0,0.0,0.0
8396a5fffffffff,3.0,0.0,0.0
8396b0fffffffff,12.0,0.0,0.0
8396b1fffffffff,6.0,0.0,0.0
8396b6fffffffff,5.0,0.0,0.0
839702fffffffff,20.0,0.0,0.0
839703fffffffff,2.0,0.0,0.0
839715fffffffff,3.0,0.0,0.0
839719fffffffff,2.0,0.0,0.0
83971cfffffffff,4.0,0.0,0.0
839728fffffffff,2.0,0.0,0.0
839729fffffffff,2.0,0.0,0.0
83972cfffffffff,7.0,0.0,0.0
83972dfffffffff,5.0,0.0,0.0
83972efffffffff,18.0,0.0,0.0
839741fffffffff,5.0,0.0,0.0
839743fffffffff,11.0,0.0,0.0
839745fffffffff,1.0,0.0,0.0
839746fffffffff,4.0,0.0,0.0
83974afffffffff,19.0,0.0,0.0
83974bfffffffff,9.0,0.0,0.0
83974efffffffff,20.0,0.0,0.0
839750fffffffff,1.0,0.0,0.0
839751fffffffff,11.0,0.0,0.0
839754fffffffff,2.0,0.0,0.0
83975cfffffffff,7.0,0.0,0.0
839764fffffffff,3.0,0.0,0.0
839768fffffffff,1.0,0.0,0.0
83976afffffffff,2.0,0.0,0.0
839772fffffffff,8.0,0.0,0.0
839775fffffffff,3.0,0.0,0.0
839788fffffffff,2.0,0.0,0.0
839789fffffffff,2.0,0.0,0.0
83978bfffffffff,2.0,0.0,0.0
83978dfffffffff,7.0,0.0,0.0
83978efffffffff,4.0,0.0,0.0
839799fffffffff,3.0,0.0,0.0
8397a8fffffffff,10.0,0.0,0.0
8397aafffffffff,1.0,0.0,0.0
8397abfffffffff,1.0,0.0,0.0
83ac12fffffffff,9.0,0.0,0.0
83ac80fffffffff,119.0,0.0,0.0
83ac81fffffffff,11.0,0.0,0.0
83ac82fffffffff,8.0,0.0,0.0
83ac84fffffffff,1.0,0.0,0.0
83ac85fffffffff,10.0,0.0,0.0
83ac86fffffffff,90.0,0.0,0.0
83ac8afffffffff,18.0,0.0,0.0
83ac8efffffffff,2.0,0.0,0.0
83ac95fffffffff,3.0,0.0,0.0
83aca1fffffffff,112.0,0.0,0.0
83aca2fffffffff,18.0,0.0,0.0
83aca3fffffffff,194.0,0.0,0.0
83aca4fffffffff,53.0,0.0,0.0
83aca5fffffffff,22.0,0.0,0.0
83aca6fffffffff,127.0,0.0,0.0
83acaafffffffff,9.0,0.0,0.0
83acaefffffffff,29.0,0.0,0.0
83acb1fffffffff,16.0,0.0,0.0
83acb3fffffffff,2.0,0.0,0.0
83ad32fffffffff,4.0,0.0,0.0
83ad81fffffffff,2.0,0.0,0.0
83ad82fffffffff,18.0,0.0,0.0
83ad85fffffffff,2.0,0.0,0.0
83ad86fffffffff,26.0,0.0,0.0
83ad88fffffffff,1.0,0.0,0.0
83ad89fffffffff,4.0,0.0,0.0
83ad8bfffffffff,31.0,0.0,0.0
83ad92fffffffff,2.0,0.0,0.0
83ad95fffffffff,1.0,0.0,0.0
83ada0fffffffff,10.0,0.0,0.0
83ada1fffffffff,13.0,0.0,0.0
83ada2fffffffff,17.0,0.0,0.0
83ada3fffffffff,2.0,0.0,0.0
83ada4fffffffff,42.0,0.0,0.0
83ada8fffffffff,3.0,0.0,0.0
83adaafffffffff,7.0,0.0,0.0
83adacfffffffff,2.0,0.0,0.0
83adaefffffffff,7.0,0.0,0.0
83adb0fffffffff,7.0,0.0,0.0
83adb1fffffffff,2.0,0.0,0.0
83adb2fffffffff,3.0,0.0,0.0
83adb3fffffffff,7.0,0.0,0.0
83adb4fffffffff,2.0,0.0,0.0
83adb5fffffffff,2.0,0.0,0.0
83bc41fffffffff,16.0,0.0,0.0
83bc42fffffffff,4.0,0.0,0.0
83bc43fffffffff,40.0,0.0,0.0
83bc45fffffffff,2.0,0.0,0.0
83bc48fffffffff,5.0,0.0,0.0
83bc49fffffffff,2.0,0.0,0.0
83bc4bfffffffff,3.0,0.0,0.0
83bc4dfffffffff,72.0,0.0,0.0
83bc4efffffffff,9.0,0.0,0.0
83bc50fffffffff,5.0,0.0,0.0
83bc54fffffffff,1.0,0.0,0.0
83bc55fffffffff,4.0,0.0,0.0
83bc59fffffffff,3.0,0.0,0.0
83bc5dfffffffff,2.0,0.0,0.0
83bc5efffffffff,6.0,0.0,0.0
83bc6afffffffff,6.0,0.0,0.0
83bc73fffffffff,8.0,0.0,0.0
83bcc3fffffffff,1.0,0.0,0.0
83bccafffffffff,1.0,0.0,0.0
83bcd0fffffffff,26.0,0.0,0.0
83bcd1fffffffff,2.0,0.0,0.0
83bcd2fffffffff,80.0,0.0,0.0
83bcd3fffffffff,2.0,0.0,0.0
83bcd4fffffffff,3.0,0.0,0.0
83bcd6fffffffff,17.0,0.0,0.0
83bcd8fffffffff,1.0,0.0,0.0
83bcd9fffffffff,13.0,0.0,0.0
83bcdbfffffffff,1.0,0.0,0.0
83bcdcfffffffff,15.0,0.0,0.0
83bcddfffffffff,1.0,0.0,0.0
83bcdefffffffff,14.0,0.0,0.0
83bce8fffffffff,4.0,0.0,0.0
83bce9fffffffff,15.0,0.0,0.0
83bcf0fffffffff,4.0,0.0,0.0
83bcf2fffffffff,36.0,0.0,0.0
