cell_id,Copsychus albospecularis,Copsychus albospecularis albospecularis,Copsychus albospecularis inexspectatus,Copsychus albospecularis pica
82a217fffffffff,1.0,0.0,1.0,0.0
82a227fffffffff,3.0,0.0,3.0,0.0
82a237fffffffff,3.0,0.0,3.0,0.0
82a31ffffffffff,4.0,0.0,0.0,4.0
82a377fffffffff,1.0,0.0,0.0,0.0
82a39ffffffffff,7.0,0.0,0.0,7.0
