cell_id,Microeca flavigaster,Microeca flavigaster [flavigaster Group],Microeca flavigaster tormenti
8272a7fffffffff,3.0,0.0,0.0
8272d7fffffffff,7.0,0.0,0.0
8272dffffffffff,1.0,0.0,0.0
8272f7fffffffff,11.0,0.0,0.0
82944ffffffffff,3.0,0.0,0.0
829457fffffffff,2828.0,323.0,0.0
82945ffffffffff,648.0,79.0,0.0
829487fffffffff,29.0,0.0,13.0
8294affffffffff,44.0,0.0,24.0
8294e7fffffffff,22.0,0.0,0.0
8294effffffffff,87.0,14.0,0.0
829c07fffffffff,74.0,0.0,0.0
829c0ffffffffff,44.0,0.0,0.0
829c1ffffffffff,259.0,0.0,0.0
829c27fffffffff,1064.0,0.0,0.0
829c2ffffffffff,1.0,0.0,0.0
829c47fffffffff,25.0,0.0,0.0
829c4ffffffffff,22.0,0.0,0.0
829c5ffffffffff,52.0,1.0,0.0
829c67fffffffff,3.0,0.0,0.0
829c77fffffffff,2.0,0.0,0.0
829c9ffffffffff,2.0,0.0,0.0
829ca7fffffffff,25.0,0.0,0.0
829caffffffffff,138.0,18.0,0.0
829cc7fffffffff,1.0,0.0,0.0
829cd7fffffffff,5.0,0.0,0.0
829ce7fffffffff,31.0,0.0,0.0
829ceffffffffff,61.0,0.0,0.0
829cf7fffffffff,12.0,0.0,0.0
829d07fffffffff,12.0,0.0,0.0
829d0ffffffffff,84.0,0.0,0.0
829d2ffffffffff,1.0,0.0,0.0
