cell_id,Sula leucogaster,Sula leucogaster leucogaster,Sula leucogaster plotus
84182c1ffffffff,1.0,0.0,0.0
84182cbffffffff,2.0,2.0,0.0
8418495ffffffff,44.0,0.0,0.0
84185bbffffffff,1.0,0.0,0.0
841870dffffffff,5.0,0.0,0.0
841940dffffffff,3.0,0.0,0.0
8419461ffffffff,8.0,5.0,0.0
841aa07ffffffff,2.0,0.0,0.0
841aa23ffffffff,4.0,0.0,0.0
84261b1ffffffff,10.0,2.0,0.0
84262d9ffffffff,20.0,0.0,0.0
842643dffffffff,2.0,0.0,0.0
8426489ffffffff,10.0,0.0,0.0
84264b9ffffffff,20.0,0.0,0.0
8426501ffffffff,2.0,0.0,0.0
842651dffffffff,26.0,0.0,0.0
842658dffffffff,15.0,0.0,0.0
842659bffffffff,2.0,0.0,0.0
84265c3ffffffff,29.0,0.0,0.0
84266b5ffffffff,19.0,0.0,0.0
84266ebffffffff,3.0,0.0,0.0
8426c5bffffffff,7.0,0.0,0.0
8426c87ffffffff,14.0,0.0,0.0
8426ca3ffffffff,1.0,0.0,0.0
8426ca9ffffffff,7.0,0.0,0.0
8426cb9ffffffff,20.0,0.0,0.0
8426cbdffffffff,14.0,0.0,0.0
8426e9dffffffff,4.0,0.0,0.0
8426ee3ffffffff,2.0,0.0,0.0
84275e5ffffffff,40.0,0.0,0.0
842a025ffffffff,2.0,0.0,0.0
842a051ffffffff,39.0,0.0,0.0
842a095ffffffff,2.0,0.0,0.0
842a103ffffffff,14.0,0.0,0.0
842a107ffffffff,76.0,2.0,0.0
842a10bffffffff,8.0,0.0,0.0
842a121ffffffff,28.0,0.0,0.0
842a123ffffffff,54.0,0.0,0.0
842a129ffffffff,8.0,0.0,0.0
842a12bffffffff,2.0,0.0,0.0
842a133ffffffff,20.0,0.0,0.0
842a139ffffffff,11.0,0.0,0.0
842a13bffffffff,2.0,0.0,0.0
842a151ffffffff,8.0,0.0,0.0
842a157ffffffff,2.0,0.0,0.0
842a159ffffffff,41.0,4.0,0.0
842a15dffffffff,1.0,0.0,0.0
842a169ffffffff,25.0,1.0,0.0
842a187ffffffff,1.0,0.0,0.0
842a18dffffffff,1.0,0.0,0.0
