cell_id,Lepidocolaptes affinis,Lepidocolaptes affinis affinis/lignicida,Lepidocolaptes affinis neglectus
8448a21ffffffff,1.0,0.0,0.0
844990bffffffff,6.0,0.0,0.0
844990dffffffff,2.0,0.0,0.0
8449963ffffffff,9.0,2.0,0.0
844996bffffffff,2.0,0.0,0.0
8449987ffffffff,1.0,0.0,0.0
84499c1ffffffff,2.0,0.0,0.0
84499c5ffffffff,1.0,1.0,0.0
8466a33ffffffff,3.0,0.0,0.0
8466b4dffffffff,8.0,0.0,2.0
846d05bffffffff,6.0,0.0,0.0
846d23bffffffff,7.0,0.0,0.0
846d283ffffffff,1.0,0.0,0.0
846d2b9ffffffff,1.0,0.0,0.0
846d32bffffffff,1.0,0.0,0.0
846d363ffffffff,2.0,0.0,0.0
846d609ffffffff,19.0,0.0,0.0
846d691ffffffff,4.0,0.0,0.0
