cell_id,Campylorhynchus brunneicapillus,Campylorhynchus brunneicapillus [brunneicapillus Group],Campylorhynchus brunneicapillus [affinis Group]
8426d1dffffffff,2.0,0.0,0.0
8426d45ffffffff,3.0,0.0,0.0
8426d47ffffffff,4.0,0.0,0.0
8426d6bffffffff,4.0,0.0,0.0
8426d9dffffffff,2.0,0.0,0.0
8429827ffffffff,5.0,0.0,0.0
842982bffffffff,2.0,0.0,0.0
8429845ffffffff,2.0,0.0,0.0
8429853ffffffff,5.0,0.0,0.0
842985bffffffff,1.0,0.0,0.0
8429953ffffffff,16.0,0.0,0.0
842995bffffffff,2.0,0.0,0.0
8429a01ffffffff,29.0,0.0,0.0
8429a07ffffffff,3.0,0.0,0.0
8429a0dffffffff,9.0,0.0,0.0
8429a15ffffffff,2.0,0.0,0.0
8429a1bffffffff,5.0,0.0,1.0
8429a29ffffffff,5.0,0.0,0.0
8429a2bffffffff,2.0,0.0,0.0
8429a3bffffffff,25.0,0.0,0.0
8429a41ffffffff,10.0,0.0,0.0
8429a43ffffffff,12.0,0.0,0.0
8429a47ffffffff,2.0,0.0,0.0
8429a4dffffffff,30.0,0.0,0.0
8429a61ffffffff,4.0,0.0,0.0
8429a63ffffffff,12.0,0.0,0.0
8429a65ffffffff,1.0,0.0,0.0
8429a69ffffffff,5.0,0.0,0.0
8429a6bffffffff,15.0,1.0,0.0
8429a6dffffffff,18.0,0.0,0.0
8429ae5ffffffff,12.0,0.0,0.0
8429b09ffffffff,15.0,0.0,0.0
8429b0bffffffff,47.0,0.0,0.0
8429b15ffffffff,2.0,0.0,0.0
8429b1dffffffff,2.0,0.0,0.0
8429b23ffffffff,1.0,0.0,0.0
8429b3dffffffff,4.0,0.0,0.0
8429b55ffffffff,16.0,0.0,0.0
8429b5dffffffff,1.0,0.0,0.0
8429b61ffffffff,3.0,0.0,0.0
8429b63ffffffff,4.0,0.0,0.0
8429b65ffffffff,1.0,1.0,0.0
8429b6dffffffff,2.0,0.0,0.0
844818dffffffff,1.0,0.0,0.0
8448233ffffffff,10.0,0.0,0.0
84482adffffffff,2.0,0.0,0.0
84482e5ffffffff,2.0,0.0,0.0
84484a5ffffffff,1.0,0.0,0.0
8448583ffffffff,1.0,0.0,0.0
844859dffffffff,27.0,0.0,0.0
84485b3ffffffff,1.0,0.0,0.0
84485d5ffffffff,2.0,0.0,0.0
8448827ffffffff,4.0,0.0,0.0
84488b1ffffffff,2.0,0.0,0.0
84488b7ffffffff,5.0,0.0,0.0
84488d3ffffffff,1.0,1.0,0.0
84488d9ffffffff,3.0,0.0,0.0
84488ddffffffff,2.0,0.0,0.0
84488ebffffffff,2.0,0.0,0.0
844891bffffffff,4.0,0.0,0.0
8448953ffffffff,2.0,0.0,0.0
844898dffffffff,24.0,0.0,0.0
8448993ffffffff,2.0,0.0,0.0
84489c1ffffffff,3.0,0.0,0.0
84489c7ffffffff,3.0,0.0,0.0
84489c9ffffffff,5.0,0.0,0.0
84489cdffffffff,2.0,0.0,0.0
84489d3ffffffff,4.0,2.0,0.0
8448ab3ffffffff,1.0,1.0,0.0
8448ab7ffffffff,2.0,0.0,0.0
8448b13ffffffff,2.0,1.0,0.0
8448b3dffffffff,2.0,2.0,0.0
8448c51ffffffff,2.0,0.0,0.0
8448c59ffffffff,10.0,6.0,0.0
8448cd3ffffffff,2.0,0.0,0.0
8448d27ffffffff,6.0,0.0,0.0
8448d81ffffffff,11.0,0.0,0.0
8448d89ffffffff,17.0,0.0,0.0
8448d8bffffffff,2.0,0.0,0.0
8448da5ffffffff,2.0,0.0,0.0
8448dc3ffffffff,6.0,0.0,0.0
8448dc7ffffffff,6.0,0.0,0.0
8448dc9ffffffff,3.0,0.0,0.0
8448dcbffffffff,7.0,0.0,0.0
8448de1ffffffff,3.0,0.0,0.0
8448debffffffff,3.0,0.0,0.0
8448dedffffffff,2.0,0.0,0.0
8448e81ffffffff,11.0,7.0,0.0
8448e85ffffffff,58.0,28.0,0.0
8448e87ffffffff,8.0,7.0,0.0
8448e89ffffffff,18.0,2.0,0.0
8448e8dffffffff,61.0,50.0,0.0
8448ea5ffffffff,2.0,0.0,0.0
8448eb3ffffffff,4.0,1.0,0.0
8448eb5ffffffff,1.0,0.0,0.0
8448eb7ffffffff,5.0,0.0,0.0
8448ebbffffffff,1.0,1.0,0.0
8448ebdffffffff,2.0,0.0,0.0
8448ee3ffffffff,11.0,0.0,0.0
8448ee9ffffffff,2.0,1.0,0.0
8448eebffffffff,16.0,0.0,0.0
8449823ffffffff,6.0,6.0,0.0
844983dffffffff,9.0,9.0,0.0
844995bffffffff,4.0,0.0,0.0
