cell_id,Turdus nigrorum,Turdus nigrorum nigrorum,Turdus nigrorum malindangensis,Turdus nigrorum katanglad,Turdus nigrorum kelleri
826847fffffffff,37.0,0.0,0.0,9.0,0.0
82685ffffffffff,216.0,0.0,0.0,0.0,26.0
826877fffffffff,8.0,0.0,0.0,0.0,0.0
