cell_id,Conirostrum albifrons,Conirostrum albifrons [albifrons Group],Conirostrum albifrons [atrocyaneum Group]
8466089ffffffff,5.0,0.0,0.0
84660ddffffffff,2.0,0.0,0.0
84661bbffffffff,3.0,0.0,3.0
84661d5ffffffff,3.0,0.0,3.0
84662b7ffffffff,1.0,0.0,0.0
8466c25ffffffff,1.0,0.0,1.0
8466d31ffffffff,5.0,0.0,3.0
8466dedffffffff,4.0,0.0,2.0
8466e6dffffffff,2.0,2.0,0.0
8467417ffffffff,2.0,1.0,0.0
848b2dbffffffff,1.0,0.0,0.0
848b617ffffffff,12.0,0.0,12.0
848f291ffffffff,4.0,0.0,0.0
848f293ffffffff,2.0,0.0,0.0
848f2bbffffffff,6.0,0.0,0.0
848f4b3ffffffff,5.0,0.0,0.0
848f72dffffffff,4.0,0.0,1.0
