cell_id,Corvus corone,Corvus corone corone,Corvus corone orientalis
820817fffffffff,2.0,0.0,0.0
82082ffffffffff,1.0,0.0,0.0
82095ffffffffff,2.0,0.0,0.0
820987fffffffff,55.0,0.0,0.0
820997fffffffff,101.0,0.0,0.0
82099ffffffffff,15.0,0.0,0.0
8209a7fffffffff,20.0,0.0,0.0
8209affffffffff,1.0,0.0,0.0
820a37fffffffff,15.0,0.0,0.0
820a97fffffffff,2.0,0.0,0.0
820b8ffffffffff,1.0,0.0,0.0
820b97fffffffff,10.0,0.0,0.0
820b9ffffffffff,6.0,0.0,0.0
820bb7fffffffff,2.0,0.0,0.0
82144ffffffffff,2.0,0.0,0.0
821457fffffffff,4.0,0.0,0.0
82149ffffffffff,24.0,0.0,0.0
8214affffffffff,164.0,0.0,0.0
8214b7fffffffff,2.0,0.0,0.0
8214cffffffffff,4.0,0.0,0.0
8214d7fffffffff,2.0,0.0,0.0
82154ffffffffff,3.0,0.0,0.0
82155ffffffffff,11.0,0.0,0.0
82158ffffffffff,7.0,0.0,0.0
821597fffffffff,44.0,0.0,0.0
82159ffffffffff,70.0,0.0,3.0
8215b7fffffffff,14.0,0.0,0.0
821607fffffffff,5.0,0.0,0.0
821617fffffffff,115.0,0.0,0.0
821637fffffffff,4.0,0.0,0.0
821717fffffffff,2.0,0.0,0.0
82171ffffffffff,43.0,0.0,0.0
82178ffffffffff,21.0,0.0,0.0
82182ffffffffff,297.0,0.0,0.0
821847fffffffff,608.0,26.0,0.0
82184ffffffffff,12488.0,4.0,0.0
82185ffffffffff,3841.0,0.0,0.0
821867fffffffff,1034.0,0.0,0.0
82186ffffffffff,1104.0,5.0,0.0
821877fffffffff,1949.0,9.0,0.0
82190ffffffffff,1489.0,5.0,0.0
82192ffffffffff,736.0,3.0,0.0
821947fffffffff,17595.0,350.0,0.0
82194ffffffffff,20747.0,255.0,0.0
821957fffffffff,4528.0,14.0,0.0
82195ffffffffff,16652.0,103.0,0.0
82196ffffffffff,6846.0,0.0,0.0
821977fffffffff,4560.0,8.0,0.0
821e07fffffffff,778.0,0.0,0.0
821e0ffffffffff,27.0,0.0,0.0
821e17fffffffff,345.0,0.0,0.0
821e1ffffffffff,17.0,0.0,0.0
821e27fffffffff,60.0,0.0,0.0
821e37fffffffff,2251.0,0.0,0.0
821ea7fffffffff,19.0,0.0,0.0
821eb7fffffffff,294.0,0.0,0.0
821f07fffffffff,882.0,62.0,0.0
821f0ffffffffff,5.0,0.0,0.0
821f17fffffffff,3196.0,1.0,0.0
821f1ffffffffff,2004.0,0.0,0.0
821f27fffffffff,39.0,12.0,0.0
821f2ffffffffff,66.0,15.0,0.0
821f37fffffffff,1296.0,32.0,0.0
821f77fffffffff,32.0,0.0,0.0
821f87fffffffff,7501.0,682.0,0.0
821f8ffffffffff,6361.0,18.0,0.0
821f97fffffffff,1352.0,171.0,0.0
821f9ffffffffff,1356.0,43.0,0.0
821fa7fffffffff,3781.0,46.0,0.0
821faffffffffff,7269.0,0.0,0.0
821fb7fffffffff,3019.0,55.0,0.0
82200ffffffffff,89.0,0.0,0.0
822017fffffffff,78.0,0.0,0.0
82201ffffffffff,298.0,0.0,0.0
82202ffffffffff,3.0,0.0,0.0
822037fffffffff,16.0,0.0,0.0
822047fffffffff,1.0,0.0,0.0
82204ffffffffff,142.0,0.0,1.0
82205ffffffffff,46.0,0.0,0.0
82206ffffffffff,14.0,0.0,0.0
822087fffffffff,64.0,0.0,0.0
82208ffffffffff,4.0,0.0,0.0
82209ffffffffff,3.0,0.0,0.0
8220a7fffffffff,151.0,0.0,0.0
8220affffffffff,133.0,0.0,0.0
8220b7fffffffff,24.0,0.0,0.0
8220c7fffffffff,2.0,0.0,0.0
8220cffffffffff,23.0,0.0,0.0
8220d7fffffffff,7.0,0.0,0.0
8220e7fffffffff,491.0,0.0,0.0
8220effffffffff,22.0,0.0,0.0
8220f7fffffffff,113.0,0.0,0.0
822157fffffffff,12.0,0.0,0.0
822187fffffffff,2.0,0.0,0.0
82218ffffffffff,3.0,0.0,0.0
82219ffffffffff,11.0,0.0,0.0
8221a7fffffffff,2.0,0.0,0.0
8221b7fffffffff,2.0,0.0,0.0
822407fffffffff,19.0,0.0,0.0
82240ffffffffff,7.0,0.0,0.0
822427fffffffff,24.0,0.0,0.0
82242ffffffffff,67.0,0.0,0.0
822437fffffffff,1.0,0.0,0.0
822447fffffffff,8.0,0.0,0.0
82244ffffffffff,13.0,0.0,0.0
822457fffffffff,4.0,0.0,0.0
82245ffffffffff,2.0,0.0,0.0
822467fffffffff,119.0,0.0,0.0
82246ffffffffff,6.0,0.0,0.0
822477fffffffff,40.0,0.0,0.0
82248ffffffffff,82.0,0.0,0.0
822497fffffffff,2.0,0.0,0.0
8224c7fffffffff,4.0,0.0,0.0
8224d7fffffffff,2.0,0.0,0.0
8224effffffffff,1.0,0.0,0.0
822507fffffffff,13.0,0.0,0.0
82250ffffffffff,7.0,0.0,0.0
822517fffffffff,189.0,0.0,0.0
82251ffffffffff,4.0,0.0,0.0
822537fffffffff,2.0,0.0,0.0
822547fffffffff,209.0,0.0,0.0
822557fffffffff,31.0,0.0,0.0
82255ffffffffff,537.0,0.0,0.0
82256ffffffffff,2.0,0.0,0.0
822577fffffffff,86.0,0.0,0.0
8225a7fffffffff,8.0,0.0,0.0
8225affffffffff,31.0,0.0,0.0
8225b7fffffffff,60.0,0.0,0.0
822c57fffffffff,4.0,0.0,0.0
822e0ffffffffff,171.0,0.0,0.0
822e17fffffffff,324.0,0.0,9.0
822e1ffffffffff,193.0,0.0,0.0
822e2ffffffffff,73.0,0.0,0.0
822e47fffffffff,37.0,0.0,0.0
822e67fffffffff,961.0,0.0,0.0
822e6ffffffffff,764.0,0.0,0.0
822e77fffffffff,295.0,0.0,0.0
822e8ffffffffff,31.0,0.0,0.0
822e9ffffffffff,3.0,0.0,0.0
822ea7fffffffff,3.0,0.0,0.0
822eaffffffffff,650.0,0.0,11.0
822ec7fffffffff,4.0,0.0,0.0
822ecffffffffff,37.0,0.0,0.0
822edffffffffff,3.0,0.0,0.0
822eeffffffffff,1.0,0.0,0.0
822ef7fffffffff,61.0,0.0,0.0
822f5ffffffffff,1461.0,0.0,0.0
823017fffffffff,2.0,0.0,0.0
823027fffffffff,34.0,0.0,0.0
823037fffffffff,13.0,0.0,5.0
823087fffffffff,3.0,0.0,0.0
823097fffffffff,6.0,0.0,0.0
82309ffffffffff,4.0,0.0,0.0
8230a7fffffffff,2.0,0.0,0.0
8230c7fffffffff,43.0,0.0,0.0
8230cffffffffff,4.0,0.0,0.0
8230d7fffffffff,7.0,0.0,0.0
8230dffffffffff,107.0,0.0,0.0
8230e7fffffffff,209.0,0.0,0.0
8230effffffffff,7.0,0.0,0.0
823107fffffffff,2.0,0.0,1.0
823117fffffffff,16.0,0.0,0.0
82311ffffffffff,6.0,0.0,0.0
823127fffffffff,32.0,0.0,0.0
82312ffffffffff,2.0,0.0,0.0
823137fffffffff,2.0,0.0,0.0
823157fffffffff,3.0,0.0,0.0
82315ffffffffff,4.0,0.0,0.0
823167fffffffff,1.0,0.0,0.0
82316ffffffffff,121.0,0.0,2.0
823187fffffffff,462.0,0.0,0.0
82318ffffffffff,30.0,0.0,0.0
823197fffffffff,2.0,0.0,0.0
8231a7fffffffff,6.0,0.0,0.0
8231affffffffff,841.0,0.0,0.0
8231b7fffffffff,2.0,0.0,0.0
823827fffffffff,40.0,0.0,0.0
823907fffffffff,10201.0,0.0,0.0
82390ffffffffff,1944.0,0.0,0.0
823917fffffffff,9895.0,0.0,0.0
823927fffffffff,13330.0,0.0,0.0
82392ffffffffff,22404.0,0.0,0.0
823937fffffffff,6109.0,0.0,0.0
823947fffffffff,805.0,1.0,0.0
823957fffffffff,140.0,0.0,0.0
823967fffffffff,1859.0,30.0,0.0
82396ffffffffff,1905.0,20.0,0.0
823977fffffffff,10302.0,0.0,0.0
823c6ffffffffff,21.0,0.0,0.0
823d07fffffffff,340.0,0.0,0.0
823d27fffffffff,9.0,0.0,0.0
823d2ffffffffff,1.0,0.0,0.0
823d37fffffffff,25.0,0.0,0.0
823d67fffffffff,2.0,0.0,0.0
82400ffffffffff,1.0,0.0,0.0
82401ffffffffff,1.0,0.0,0.0
82404ffffffffff,9.0,0.0,0.0
824057fffffffff,18.0,0.0,0.0
82405ffffffffff,51.0,0.0,0.0
824067fffffffff,1.0,0.0,0.0
82408ffffffffff,7.0,0.0,0.0
824097fffffffff,4.0,0.0,0.0
82409ffffffffff,1.0,0.0,0.0
8240a7fffffffff,4.0,0.0,0.0
8240affffffffff,8.0,0.0,0.0
8240b7fffffffff,2.0,0.0,0.0
8240c7fffffffff,81.0,0.0,2.0
8240cffffffffff,5.0,0.0,0.0
8240dffffffffff,14.0,0.0,1.0
8240e7fffffffff,2.0,0.0,0.0
8240effffffffff,32.0,0.0,0.0
824197fffffffff,6.0,0.0,0.0
82419ffffffffff,27.0,0.0,0.0
82426ffffffffff,2.0,0.0,0.0
824b67fffffffff,286.0,0.0,0.0
824b6ffffffffff,13.0,0.0,0.0
824b77fffffffff,353.0,0.0,9.0
