cell_id,Corvus macrorhynchos,Corvus macrorhynchos [macrorhynchos Group],Corvus macrorhynchos culminatus,Corvus macrorhynchos levaillantii
84208a5ffffffff,1.0,0.0,0.0,0.0
8420983ffffffff,5.0,0.0,0.0,0.0
8420995ffffffff,1.0,0.0,0.0,0.0
8420999ffffffff,24.0,3.0,0.0,0.0
842099bffffffff,46.0,0.0,0.0,0.0
842099dffffffff,2.0,0.0,0.0,0.0
84209a7ffffffff,2.0,0.0,0.0,0.0
84209e3ffffffff,4.0,0.0,0.0,0.0
84209ebffffffff,3.0,0.0,0.0,0.0
8424c0dffffffff,1.0,1.0,0.0,0.0
8424c63ffffffff,1.0,1.0,0.0,0.0
842e6b5ffffffff,2.0,0.0,0.0,0.0
84309a5ffffffff,6.0,2.0,0.0,0.0
84309b3ffffffff,5.0,2.0,0.0,0.0
843113dffffffff,2.0,2.0,0.0,0.0
843c029ffffffff,6.0,0.0,0.0,0.0
843c0a5ffffffff,12.0,0.0,6.0,0.0
843c0adffffffff,2.0,2.0,0.0,0.0
843c0b5ffffffff,2.0,0.0,0.0,0.0
843c155ffffffff,3.0,0.0,3.0,0.0
843c191ffffffff,3.0,0.0,3.0,0.0
843c193ffffffff,3.0,0.0,0.0,0.0
843c199ffffffff,22.0,2.0,0.0,4.0
843c19bffffffff,7.0,0.0,2.0,0.0
843c1b5ffffffff,1.0,0.0,0.0,1.0
843c1d1ffffffff,25.0,6.0,0.0,1.0
843c1d3ffffffff,46.0,3.0,5.0,9.0
843c1dbffffffff,5.0,0.0,0.0,5.0
843c1e9ffffffff,3.0,0.0,2.0,0.0
843c33dffffffff,2.0,0.0,2.0,0.0
843c361ffffffff,2.0,0.0,0.0,0.0
843c521ffffffff,18.0,9.0,0.0,9.0
843c525ffffffff,5.0,0.0,0.0,5.0
843c527ffffffff,12.0,0.0,3.0,9.0
843c529ffffffff,1.0,1.0,0.0,0.0
843c581ffffffff,49.0,5.0,0.0,44.0
843c585ffffffff,31.0,0.0,0.0,31.0
843c587ffffffff,26.0,0.0,0.0,26.0
843c58dffffffff,8.0,2.0,2.0,4.0
843c595ffffffff,32.0,23.0,0.0,9.0
843c5a1ffffffff,2.0,0.0,2.0,0.0
843c5a3ffffffff,1.0,0.0,0.0,1.0
843c5bdffffffff,22.0,0.0,0.0,22.0
843c5c1ffffffff,2.0,2.0,0.0,0.0
843c5e3ffffffff,10.0,0.0,0.0,7.0
843c801ffffffff,5.0,0.0,5.0,0.0
843c805ffffffff,2.0,0.0,2.0,0.0
843c807ffffffff,2.0,0.0,2.0,0.0
843c809ffffffff,2.0,0.0,2.0,0.0
843c839ffffffff,2.0,0.0,2.0,0.0
843c843ffffffff,2.0,0.0,2.0,0.0
843c855ffffffff,2.0,0.0,2.0,0.0
843c885ffffffff,29.0,0.0,29.0,0.0
843c889ffffffff,4.0,0.0,4.0,0.0
843c899ffffffff,3.0,0.0,1.0,2.0
843c8adffffffff,1.0,0.0,1.0,0.0
843c8c1ffffffff,3.0,0.0,3.0,0.0
843c8c7ffffffff,6.0,0.0,6.0,0.0
843c8e1ffffffff,3.0,0.0,3.0,0.0
843c8e5ffffffff,30.0,0.0,30.0,0.0
843c8e7ffffffff,1.0,0.0,1.0,0.0
843c8ebffffffff,2.0,0.0,2.0,0.0
843c8edffffffff,122.0,0.0,122.0,0.0
843c90bffffffff,4.0,0.0,4.0,0.0
843c921ffffffff,2.0,0.0,2.0,0.0
843c925ffffffff,5.0,0.0,5.0,0.0
843c927ffffffff,15.0,0.0,15.0,0.0
843c929ffffffff,26.0,0.0,26.0,0.0
843c92bffffffff,9.0,0.0,9.0,0.0
843c92dffffffff,1.0,0.0,1.0,0.0
843c931ffffffff,21.0,0.0,21.0,0.0
843c955ffffffff,2.0,0.0,2.0,0.0
843c967ffffffff,10.0,0.0,10.0,0.0
843c9c5ffffffff,4.0,0.0,4.0,0.0
843c9cbffffffff,4.0,0.0,4.0,0.0
843c9d9ffffffff,29.0,0.0,29.0,0.0
843c9ddffffffff,8.0,0.0,8.0,0.0
843ca91ffffffff,5.0,0.0,3.0,0.0
843ca93ffffffff,1.0,0.0,0.0,0.0
843ca97ffffffff,2.0,0.0,2.0,0.0
843cb1dffffffff,1.0,0.0,1.0,0.0
843cb39ffffffff,5.0,0.0,5.0,0.0
843cb41ffffffff,2.0,2.0,0.0,0.0
843cb65ffffffff,20.0,0.0,20.0,0.0
843cb6bffffffff,2.0,0.0,2.0,0.0
843cc0bffffffff,2.0,0.0,0.0,2.0
843cc0dffffffff,3.0,0.0,0.0,3.0
843cc11ffffffff,4.0,0.0,0.0,4.0
843cc15ffffffff,5.0,0.0,0.0,5.0
843cc1dffffffff,1.0,0.0,0.0,1.0
843cc31ffffffff,7.0,0.0,0.0,7.0
843cc41ffffffff,2.0,0.0,0.0,2.0
843cc43ffffffff,1.0,0.0,0.0,1.0
843cc45ffffffff,7.0,0.0,0.0,7.0
843cc47ffffffff,8.0,0.0,0.0,8.0
843cc55ffffffff,5.0,0.0,0.0,5.0
843cc6bffffffff,17.0,0.0,0.0,17.0
843ccc3ffffffff,1.0,1.0,0.0,0.0
843ccc9ffffffff,17.0,0.0,0.0,17.0
843ce13ffffffff,1.0,0.0,1.0,0.0
843ce15ffffffff,3.0,0.0,0.0,3.0
843ce1bffffffff,2.0,0.0,2.0,0.0
843ce2bffffffff,7.0,0.0,0.0,7.0
843ce31ffffffff,7.0,0.0,0.0,7.0
843ce33ffffffff,3.0,3.0,0.0,0.0
843ce3bffffffff,72.0,0.0,0.0,72.0
843ce43ffffffff,4.0,0.0,1.0,3.0
843ce4dffffffff,5.0,0.0,0.0,3.0
843ce59ffffffff,2.0,2.0,0.0,0.0
843ce63ffffffff,4.0,0.0,0.0,4.0
843ce83ffffffff,16.0,0.0,0.0,16.0
843ce87ffffffff,10.0,0.0,0.0,10.0
843ce8bffffffff,39.0,0.0,0.0,39.0
843ce95ffffffff,9.0,0.0,0.0,9.0
843cea1ffffffff,5.0,0.0,0.0,5.0
