cell_id,Oriolus chlorocephalus,Oriolus chlorocephalus chlorocephalus/amani,Oriolus chlorocephalus speculifer
827b4ffffffffff,333.0,25.0,0.0
827b5ffffffffff,1.0,0.0,0.0
8296b7fffffffff,15.0,0.0,0.0
82978ffffffffff,1.0,0.0,0.0
829797fffffffff,9.0,0.0,0.0
82979ffffffffff,3.0,0.0,0.0
8297affffffffff,18.0,0.0,0.0
