cell_id,Chamaetylas poliocephala,Chamaetylas poliocephala poliocephala,Chamaetylas poliocephala hallae,Chamaetylas poliocephala compsonota,Chamaetylas poliocephala [carruthersi Group]
8254cffffffffff,1.0,0.0,0.0,0.0,0.0
8254effffffffff,1.0,0.0,0.0,0.0,0.0
8258d7fffffffff,21.0,0.0,0.0,10.0,0.0
8258dffffffffff,4.0,0.0,0.0,4.0,0.0
826a87fffffffff,1.0,0.0,0.0,0.0,0.0
826ac7fffffffff,120.0,0.0,0.0,0.0,24.0
826acffffffffff,23.0,0.0,0.0,0.0,2.0
826adffffffffff,1.0,0.0,0.0,0.0,0.0
826aeffffffffff,24.0,0.0,0.0,0.0,3.0
82750ffffffffff,11.0,0.0,0.0,0.0,0.0
82752ffffffffff,6.0,0.0,0.0,0.0,0.0
8275a7fffffffff,12.0,0.0,0.0,0.0,0.0
8275b7fffffffff,1.0,0.0,0.0,0.0,0.0
827a47fffffffff,26.0,0.0,0.0,0.0,0.0
827a4ffffffffff,444.0,0.0,0.0,0.0,0.0
827a6ffffffffff,62.0,0.0,0.0,0.0,0.0
82821ffffffffff,3.0,0.0,0.0,0.0,0.0
828287fffffffff,1.0,0.0,0.0,0.0,0.0
82828ffffffffff,152.0,0.0,0.0,57.0,0.0
8282affffffffff,12.0,0.0,0.0,0.0,0.0
8282d7fffffffff,55.0,0.0,0.0,23.0,0.0
828317fffffffff,12.0,0.0,0.0,0.0,0.0
