cell_id,Catharus fuscater,Catharus fuscater hellmayri,Catharus fuscater [fuscater Group]
82660ffffffffff,149.0,0.0,0.0
826617fffffffff,179.0,0.0,16.0
82661ffffffffff,50.0,0.0,2.0
826627fffffffff,2082.0,0.0,200.0
82662ffffffffff,197.0,0.0,0.0
8266a7fffffffff,200.0,6.0,0.0
8266b7fffffffff,2097.0,11.0,0.0
8266c7fffffffff,19.0,0.0,0.0
8266d7fffffffff,978.0,0.0,118.0
8266dffffffffff,164.0,0.0,22.0
8266e7fffffffff,359.0,0.0,13.0
8266f7fffffffff,30.0,0.0,0.0
82675ffffffffff,162.0,0.0,4.0
82679ffffffffff,71.0,0.0,0.0
826d6ffffffffff,6479.0,0.0,0.0
828b27fffffffff,13.0,0.0,0.0
828b2ffffffffff,3.0,0.0,0.0
828b67fffffffff,55.0,0.0,0.0
828b6ffffffffff,3.0,0.0,0.0
828b77fffffffff,5.0,0.0,0.0
828e67fffffffff,39.0,0.0,0.0
828e6ffffffffff,7.0,0.0,0.0
828f0ffffffffff,177.0,0.0,21.0
828f2ffffffffff,25.0,0.0,0.0
828f47fffffffff,68.0,0.0,0.0
828f4ffffffffff,3.0,0.0,0.0
828f57fffffffff,136.0,0.0,0.0
828f5ffffffffff,24.0,0.0,0.0
828f77fffffffff,218.0,0.0,3.0
82b327fffffffff,25.0,0.0,0.0
