cell_id,Picus viridis,Picus viridis viridis/karelini,Picus viridis innominatus
830806fffffffff,10.0,2.0,0.0
830814fffffffff,2.0,0.0,0.0
830815fffffffff,4.0,0.0,0.0
830833fffffffff,4.0,0.0,0.0
830880fffffffff,22.0,7.0,0.0
830882fffffffff,16.0,14.0,0.0
830884fffffffff,16.0,4.0,0.0
830885fffffffff,2.0,0.0,0.0
830886fffffffff,214.0,77.0,0.0
830895fffffffff,36.0,27.0,0.0
8308a2fffffffff,2.0,0.0,0.0
8308a4fffffffff,2.0,0.0,0.0
8308a6fffffffff,4.0,2.0,0.0
8308b0fffffffff,7.0,0.0,0.0
8308b1fffffffff,29.0,2.0,0.0
8308b2fffffffff,1.0,0.0,0.0
8308b3fffffffff,23.0,2.0,0.0
8308b4fffffffff,10.0,0.0,0.0
8308b5fffffffff,8.0,0.0,0.0
8308b6fffffffff,4.0,0.0,0.0
830981fffffffff,1.0,0.0,0.0
830982fffffffff,1.0,0.0,0.0
83098afffffffff,4.0,0.0,0.0
83098bfffffffff,1.0,0.0,0.0
83098dfffffffff,3.0,0.0,0.0
83098efffffffff,1.0,0.0,0.0
830991fffffffff,36.0,6.0,0.0
830998fffffffff,7.0,0.0,0.0
830999fffffffff,79.0,22.0,0.0
83099bfffffffff,14.0,0.0,0.0
83099cfffffffff,9.0,0.0,0.0
83099efffffffff,40.0,0.0,0.0
831181fffffffff,20.0,4.0,0.0
831185fffffffff,2.0,0.0,0.0
83118afffffffff,8.0,0.0,0.0
83118cfffffffff,4.0,0.0,0.0
8311aafffffffff,10.0,0.0,0.0
8311aefffffffff,3.0,3.0,0.0
831844fffffffff,50.0,4.0,0.0
831845fffffffff,86.0,2.0,0.0
831846fffffffff,20.0,6.0,0.0
831849fffffffff,188.0,0.0,0.0
83184cfffffffff,8.0,0.0,0.0
83184dfffffffff,112.0,0.0,0.0
831860fffffffff,16.0,0.0,0.0
831861fffffffff,11.0,0.0,0.0
831862fffffffff,23.0,0.0,0.0
831863fffffffff,38.0,5.0,0.0
831864fffffffff,3.0,2.0,0.0
831865fffffffff,24.0,0.0,0.0
831868fffffffff,60.0,5.0,0.0
831869fffffffff,28.0,0.0,0.0
83186afffffffff,24.0,0.0,0.0
83186bfffffffff,8.0,0.0,0.0
83186cfffffffff,310.0,5.0,0.0
83186dfffffffff,57.0,18.0,0.0
83186efffffffff,49.0,0.0,0.0
831870fffffffff,23.0,6.0,0.0
