cell_id,Henicorhina leucosticta,Henicorhina leucosticta [prostheleuca Group],Henicorhina leucosticta pittieri/costaricensis,Henicorhina leucosticta inornata/eucharis,Henicorhina leucosticta [leucosticta Group]
824527fffffffff,23.0,1.0,0.0,0.0,0.0
82452ffffffffff,4.0,3.0,0.0,0.0,0.0
824997fffffffff,24.0,7.0,0.0,0.0,0.0
82499ffffffffff,16.0,0.0,0.0,0.0,0.0
825f07fffffffff,1.0,0.0,0.0,0.0,1.0
825f47fffffffff,4.0,0.0,0.0,0.0,0.0
826617fffffffff,2.0,0.0,0.0,0.0,0.0
82661ffffffffff,2.0,0.0,0.0,0.0,0.0
8266a7fffffffff,12.0,0.0,0.0,0.0,0.0
8266b7fffffffff,15.0,0.0,8.0,0.0,0.0
8266d7fffffffff,40.0,0.0,0.0,9.0,2.0
8266dffffffffff,4.0,0.0,0.0,0.0,0.0
8266e7fffffffff,2.0,0.0,0.0,0.0,2.0
826d27fffffffff,9.0,2.0,0.0,0.0,0.0
826d2ffffffffff,6.0,4.0,0.0,0.0,0.0
826d37fffffffff,12.0,6.0,0.0,0.0,0.0
826d6ffffffffff,25.0,0.0,15.0,0.0,0.0
828a47fffffffff,1.0,0.0,0.0,0.0,0.0
828af7fffffffff,1.0,0.0,0.0,0.0,0.0
828f2ffffffffff,5.0,0.0,0.0,0.0,0.0
828f4ffffffffff,2.0,0.0,0.0,0.0,0.0
828f77fffffffff,2.0,0.0,0.0,0.0,0.0
